ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,meansigv,errsigv,a,b,R,errR,area,perim
80,1,1054,442,41,1.244e+04,4.437e+04,2.484e+06,101.3,8.997,5.885e+07,5.885e+06,29.61,0.9674,71.37,46.53,92,27.29,4.139e+04,2467
81,1,1054,442,41,1.17e+04,4.314e+04,2.116e+06,99.91,8.997,5.013e+07,5.013e+06,25.65,0.8617,69.84,46.8,91.25,31.07,3.184e+04,1789
82,1,1054,442,41,1.21e+04,4.367e+04,2.297e+06,100.5,8.997,5.442e+07,5.442e+06,28.19,0.9135,70.32,46.82,91.6,28.87,3.79e+04,2353
83,2,1404,525,35,1383,2259,1.997e+05,25.31,4.253,4.731e+06,4.731e+05,11,0.3427,40.74,22.65,46.13,18.37,9276,881
84,2,1426,592,33,291,291,1.371e+04,13.81,3.003,3.247e+05,3.247e+04,nan,nan,20.75,14.09,21.5,7.058,1113,176.2
85,2,1497,619,33,18,18,8970,11.33,2.489,2.125e+05,2.125e+04,6.801,0.3114,12.43,10.27,5.197,8.58,912,179.2
86,2,1443,463,36,504,752,1.059e+05,17.21,3.415,2.509e+06,2.509e+05,11.78,0.4642,47.07,13.81,37.51,31.61,5690,892.9
87,1,1354,449,38,698,901,7.68e+04,18.17,4.406,1.82e+06,1.82e+05,12.14,0.5532,52.35,15.27,42.45,16.14,4172,666
88,2,1313,479,35,301,354,3.203e+04,14.32,3.464,7.589e+05,7.589e+04,6.745,0.2484,12.35,25.36,22.76,17.15,1924,325.5
89,2,1223,1368,37,0,0,1.412e+04,11.15,1.743,3.346e+05,3.346e+04,10.62,0.5058,8.872,11.24,nan,6.082,1552,274.8
90,2,1108,1392,37,0,0,2.032e+04,11.15,2.277,4.816e+05,4.816e+04,9.182,0.4982,13.02,20.6,19.97,13.98,1996,283.7
91,2,1238,1441,34,0,0,1.549e+04,11.15,1.865,3.669e+05,3.669e+04,7.105,0.3276,19.02,12.55,17.91,9.007,1541,235.9
92,1,577,1867,42,9659,2.425e+04,3.25e+06,75.26,7.977,7.701e+07,7.701e+06,32.45,1.395,87.7,118.7,164.9,70.63,8.458e+04,5447
93,1,1131,407,38,3932,1.324e+04,6.168e+05,56.12,8.303,1.461e+07,1.461e+06,16.52,0.6108,29.17,40.99,53.38,17.96,8767,692.9
94,2,1120,449,37,1275,3754,1.818e+05,31.34,8.08,4.307e+06,4.307e+05,13.3,0.5058,11.75,28.28,23.83,5.468,2843,316.6
95,2,1112,509,35,391,436,7.559e+04,14.96,3.108,1.791e+06,1.791e+05,10.33,0.4428,24.64,31.85,41.99,13.59,4854,594.3
96,2,1290,1438,35,0,0,6651,11.15,1.952,1.576e+05,1.576e+04,5.202,0.1949,11.73,8.235,nan,5.86,577.5,122.4
97,1,577,1867,42,8218,2.222e+04,2.175e+06,72.11,7.977,5.152e+07,5.152e+06,30.37,1.238,93.8,60.38,121.1,41.87,5.072e+04,3345
98,1,577,1867,42,6808,2.015e+04,1.585e+06,68.76,7.977,3.754e+07,3.754e+06,27.01,1.112,34.43,58.79,70.98,14.98,3.521e+04,2294
