ncl,cltype,maxpix x,maxpix y,maxpix v,ra dec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
179,0,1282,1095,73,12h01m54.9506s -18d53m10.7806s,2,455,505,6.566e+05,15.48,2.7033582,1.786e+07,1.786e+06,25,0.8,41.44,2.176,32.85,89.53,86.37,57.23,2.847e+04,1598,761.9,78.19,2.79e+07,5.561e+07,9.618,6.524
180,2,1180,799,55,12h01m55.2426s -18d53m11.0325s,345,,,1.16e+04,11.15,1.4764855,2.142e+05,2.142e+04,16.98113208,0.8,9.077,0.5315,9.36,11.85,nan,14.1,1643,253.8,nan,nan,nan,nan,nan,nan
181,2,1153,688,55,12h01m55.3521s -18d53m11.0325s,345,12,12,934,11.27,2.2482884,1.726e+05,1.726e+04,16.98113208,0.8,7.034,0.188,13.73,6.968,nan,6.442,1115,188.1,nan,nan,nan,nan,nan,nan
182,1,1297,1178,64,12h01m54.8687s -18d53m10.9066s,2,,,1.492e+05,11.15,1.7818062,4.058e+06,4.058e+05,25,0.8,34.12,1.726,26.18,48.92,55.44,18.86,9102,863.1,420.2,42.73,1.625e+07,1.674e+07,18.42,6.791
183,2,1141,604,61,12h01m55.4349s -18d53m10.9485s,345,,,3.668e+04,11.15,1.8574972,6.778e+05,6.778e+04,16.98113208,0.8,18.11,1.007,11.75,24.61,21.31,15.63,3342,301.6,475.1,68.29,1.346e+07,2.969e+07,11.94,8.934
184,1,1178,950,60,12h01m55.0936s -18d53m10.9626s,345,,,4.944e+04,11.15,1.7870585,1.345e+06,1.345e+05,25,0.8,13.21,0.4981,24.79,47.42,52.89,26.15,5418,582.4,153.1,15.9,9.296e+05,1.384e+06,7.942,4.05
185,1,1186,910,58,12h01m55.1331s -18d53m10.9906s,345,,,3.12e+04,11.15,1.6166841,8.488e+05,8.488e+04,25,0.8,10.79,0.4429,13.48,34.01,30.02,9.009,3496,388.2,299.8,31.3,2.142e+06,1.948e+06,4.768,1.558
186,2,1186,910,58,12h01m55.1331s -18d53m10.9906s,345,,,1.885e+04,11.15,1.6166841,5.128e+05,5.128e+04,25,0.8,7.179,0.1419,11.96,25.82,22.49,15.92,2223,355.4,322.7,44.37,1.362e+06,2.895e+06,2.618,1.874
187,1,1305,1195,60,12h01m54.8519s -18d53m10.9626s,2,,,8.976e+04,11.15,1.6557966,2.442e+06,2.442e+05,25,0.8,22.89,0.8742,21.81,35.93,41.96,16.6,586,603.3,441.3,45.86,1.015e+07,1.211e+07,10.43,4.329
188,2,1305,1195,60,12h01m54.8519s -18d53m10.9626s,2,,,6.82e+04,11.15,1.6557966,1.855e+06,1.855e+05,25,0.8,20.22,0.8819,16.57,30.89,32.28,16.42,4357,448,566.6,62.67,1.322e+07,2.025e+07,8.243,4.333
