ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,meansigv,errsigv,a,b,R,errR,area,perim
20,1,1315,1341,43,4.428e+04,1.832e+05,8.234e+07,744.8,28.44,8.028e+07,8.028e+06,126.8,6.18,20.58,30.82,36.96,2.922,3.059e+05,1.054e+04
21,1,1315,1341,43,4.427e+04,1.832e+05,7.244e+07,744.8,28.44,7.063e+07,7.063e+06,124.8,6.036,20.4,30.84,36.77,11.01,2.532e+05,8664
22,1,1315,1341,43,4.427e+04,1.832e+05,7.114e+07,744.8,28.44,6.936e+07,6.936e+06,124.6,5.982,20.5,30.81,36.87,7.86,2.45e+05,8180
23,1,1315,1341,43,3.869e+04,1.679e+05,5.732e+07,713.1,28.44,5.589e+07,5.589e+06,123.5,5.825,19.67,30.69,35.85,6.735,1.891e+05,6316
24,1,1315,1341,43,3.869e+04,1.679e+05,5.531e+07,713.1,28.44,5.392e+07,5.392e+06,123.4,5.817,19.31,30.62,35.39,7.212,1.851e+05,6570
25,1,1315,1341,43,4.427e+04,1.832e+05,6.609e+07,744.8,28.44,6.444e+07,6.444e+06,124.1,5.885,19.78,30.77,36.03,6.067,2.306e+05,8174
26,1,1119,1357,33,3.457e+04,1.43e+05,4.365e+07,658.1,21.1,4.256e+07,4.256e+06,69.32,2.87,144.1,61.98,152.6,63.64,1.523e+05,5187
27,1,1119,1357,33,3.526e+04,1.441e+05,4.508e+07,660.4,21.1,4.396e+07,4.396e+06,69.31,2.869,146.5,62.34,154.4,65.32,1.592e+05,5510
28,1,1119,1357,33,3.448e+04,1.429e+05,3.96e+07,657.7,21.1,3.861e+07,3.861e+06,69.39,2.877,137.8,58.62,145.1,77.29,1.389e+05,5137
29,1,1315,1341,43,4.427e+04,1.832e+05,6.698e+07,744.8,28.44,6.53e+07,6.53e+06,124.7,5.997,19.93,30.78,36.2,9.69,2.345e+05,8350
30,1,1315,1341,43,3.835e+04,1.673e+05,5.245e+07,711.8,28.44,5.114e+07,5.114e+06,115.6,5.354,18.86,30.48,34.76,4.314,1.733e+05,6182
31,1,1315,1341,43,4.427e+04,1.832e+05,7.332e+07,744.8,28.44,7.149e+07,7.149e+06,124.8,6.047,20.53,30.89,36.95,11.22,2.569e+05,8903
32,2,663,1648,11,399,1153,1.568e+05,60.12,16.83,1.528e+05,1.528e+04,14.19,0.6924,13.06,7.969,nan,5.257,889.7,152.3
33,1,762,1669,13,3738,2.264e+04,3.143e+06,262,27.37,3.065e+06,3.065e+05,48.14,2.469,54.87,16.54,45.7,32.88,8335,654
34,2,762,1669,13,1758,7109,1.19e+06,147.1,27.37,1.161e+06,1.161e+05,17.05,0.7253,27.12,16.92,30.04,14.31,3920,340.5
35,1,685,1613,24,7551,4.279e+04,8.514e+06,360.1,34.8,8.301e+06,8.301e+05,39.63,1.776,25.06,91.77,75.93,63.6,1.684e+04,1078
36,1,649,1708,14,1766,1.003e+04,2.075e+06,174.6,25.9,2.023e+06,2.023e+05,33.86,1.707,14.02,25.67,25.31,12.81,3938,391.2
37,2,649,1708,14,1499,8009,1.676e+06,156.1,25.9,1.634e+06,1.634e+05,24.12,1.073,14.03,29.44,27.94,17.2,3342,358.4
38,2,507,1864,13,886,3186,7.022e+05,98.83,24.84,6.846e+05,6.846e+04,17.59,0.8331,9.019,18.27,11.19,6.653,1976,271.8
39,1,1119,1357,33,3.46e+04,1.431e+05,4.377e+07,658.2,21.1,4.268e+07,4.268e+06,69.33,2.871,144.3,62.04,152.8,64.83,1.532e+05,5223
40,1,1315,1341,43,4.427e+04,1.832e+05,6.734e+07,744.8,28.44,6.566e+07,6.566e+06,124.6,5.975,19.95,30.86,36.29,9.826,2.351e+05,8311
41,1,1119,1357,33,3.359e+04,1.408e+05,3.675e+07,653,21.1,3.583e+07,3.583e+06,67.75,2.831,136,59.48,145.2,66.69,1.268e+05,4760
42,2,1268,1492,16,37,37,5.169e+04,15.37,9.808,5.039e+04,5039,13.97,0.6396,9.888,6.055,nan,2.732,653.3,137.4
43,1,1119,1357,33,3.341e+04,1.406e+05,3.402e+07,652.5,21.1,3.317e+07,3.317e+06,67.78,2.835,137.3,59.17,145.4,60.21,1.188e+05,4677
44,1,1315,1341,43,4.011e+04,1.703e+05,5.881e+07,718,28.44,5.734e+07,5.734e+06,123.8,5.88,19.68,30.69,35.86,6.967,2.005e+05,6920
45,2,1154,1802,13,67,67,7.698e+04,18.09,10.04,7.505e+04,7505,nan,nan,30.28,8.516,19.26,3.234,2569,361.4
46,1,1119,1357,33,3.292e+04,1.401e+05,3.272e+07,651.3,21.1,3.19e+07,3.19e+06,62.89,2.684,136,58.61,144,64.58,1.12e+05,4235
47,1,1119,1357,33,3.339e+04,1.406e+05,3.375e+07,652.4,21.1,3.29e+07,3.29e+06,62.87,2.684,136.3,58.91,144.6,62.61,1.183e+05,4686
48,1,1119,1357,33,3.286e+04,1.4e+05,2.955e+07,651.1,21.1,2.881e+07,2.881e+06,59.84,2.6,136.8,56.83,142.2,56.95,1.04e+05,4501
49,1,1119,1357,33,3.158e+04,1.37e+05,2.863e+07,644.1,21.1,2.792e+07,2.792e+06,59.82,2.596,135.7,56.58,141.3,50.19,9.813e+04,3918
50,1,1119,1357,33,3.123e+04,1.364e+05,2.324e+07,642.8,21.1,2.266e+07,2.266e+06,59.8,2.582,135.7,54.83,139.1,74.31,8.537e+04,3745
51,1,1119,1357,33,3.073e+04,1.349e+05,2.26e+07,639,21.1,2.203e+07,2.203e+06,59.65,2.558,134.1,53.74,136.9,38.58,8.297e+04,3557
52,2,1338,1596,18,147,214,3.27e+05,27.79,11.58,3.188e+05,3.188e+04,16.23,0.5834,14.57,33.77,31.46,21.89,4183,453.9
53,1,685,1613,24,4812,2.315e+04,4.867e+06,264.9,34.8,4.745e+06,4.745e+05,30.01,1.2,20.86,38.13,42.32,13.52,1.073e+04,758.6
54,2,1311,1547,17,202,278,2.641e+05,31.08,11.72,2.575e+05,2.575e+04,11.73,0.5017,37.83,15.27,34.87,17.24,3396,382.3
55,2,1151,1655,17,94,94,2.037e+05,20.22,9.935,1.987e+05,1.987e+04,9.604,0.318,13.75,24.08,23.76,7.976,3802,474.8
56,2,633,1668,18,253,389,4.481e+04,36.08,13.18,4.369e+04,4369,7.236,0.3643,6.315,8.273,nan,1.777,564.1,128.4
57,2,1213,1418,22,0,0,9.396e+04,11.15,8.403,9.161e+04,9161,15.82,0.7461,28.85,7.101,15.2,11.18,1244,232.9
58,2,1355,1467,19,18,18,7.082e+04,13.37,9.096,6.905e+04,6905,10.03,0.4376,13.56,10.63,8.42,3.815,1200,206.1
59,1,1119,1357,33,2.998e+04,1.327e+05,1.849e+07,633.8,21.1,1.802e+07,1.802e+06,41.88,1.942,136.7,55.54,140.6,79.49,7.275e+04,3321
60,1,1119,1357,33,2.841e+04,1.288e+05,1.66e+07,624.5,21.1,1.618e+07,1.618e+06,41.85,1.935,136.7,54.08,138.7,35.15,6.624e+04,3312
61,1,1276,1478,24,2242,7742,9.722e+05,153.5,17.07,9.479e+05,9.479e+04,21.82,0.8967,19.96,23.11,30.14,7.06,5088,480.8
62,1,1119,1357,33,2.76e+04,1.27e+05,1.564e+07,620,21.1,1.525e+07,1.525e+06,41.85,1.934,130.7,51.33,132,33.64,6.287e+04,3267
63,2,1279,1432,20,371,827,9.911e+04,51.26,14.61,9.663e+04,9663,6.721,0.2415,8.459,12.56,nan,5.633,827.2,140.4
64,1,1364,1492,25,87,160,1.792e+05,24.67,9.73,1.747e+05,1.747e+04,19.15,0.8819,12.48,7.654,nan,7.444,1556,262.8
65,2,1378,1489,22,0,0,5.43e+04,11.15,8.652,5.294e+04,5294,8.666,0.3706,18.41,6.287,nan,70.6,691.2,164.3
66,2,1276,1478,24,1798,6579,8.15e+05,141.6,17.07,7.946e+05,7.946e+04,16.89,0.6878,19.55,22.72,29.38,7.253,4009,394.2
67,2,811,1685,28,793,4372,6.662e+05,115.6,20.46,6.495e+05,6.495e+04,29.16,1.269,15.29,10.69,11.02,6.516,1768,235.9
68,2,1220,1609,23,652,972,4.217e+05,55.37,10.97,4.111e+05,4.111e+04,13.94,0.6299,22.04,14.69,23.35,9.981,3898,358.4
69,2,750,1632,23,204,466,5.561e+04,39.18,13.4,5.422e+04,5422,8.594,0.3548,6.445,8.44,nan,0.9949,454.9,116.5
70,2,514,1900,21,250,516,1.116e+05,41.06,22.76,1.088e+05,1.088e+04,6.994,0.3001,8.246,8.478,nan,0.996,557.4,122.4
71,1,1119,1357,33,2.571e+04,1.184e+05,1.427e+07,598.7,21.1,1.392e+07,1.392e+06,37.98,1.686,45.77,88.53,102,36.1,5.811e+04,3028
72,2,685,1613,24,1709,6435,1.69e+06,140,34.8,1.647e+06,1.647e+05,15.49,0.6994,21.05,21.51,29.77,2.033,3811,456.9
73,2,1458,1742,25,151,260,7.346e+05,30.19,10.22,7.162e+05,7.162e+04,13.78,0.6115,20.26,72.98,59.96,18.74,9722,967.6
74,2,634,1708,24,502,1607,3.254e+05,70.63,21.62,3.173e+05,3.173e+04,12.28,0.5648,9.557,16.24,9.998,7.209,1119,182.2
75,1,1459,621,36,8437,1.663e+04,1.035e+07,224.6,24.88,1.009e+07,1.009e+06,34.25,1.342,13.51,19.78,19.89,1.823,9.117e+04,4217
76,1,1119,1357,33,2.023e+04,9.818e+04,1.173e+07,545.2,21.1,1.144e+07,1.144e+06,34.88,1.619,47.65,91.3,105.8,25.3,4.511e+04,2049
77,1,1119,1357,33,1.756e+04,7.808e+04,9.696e+06,486.3,21.1,9.454e+06,9.454e+05,34.95,1.636,42.9,85.01,96.57,43.99,3.916e+04,2234
78,1,1119,1357,33,9309,3.728e+04,5.172e+06,336.1,21.1,5.043e+06,5.043e+05,31.45,1.459,40.56,73.55,87.01,28.13,2.076e+04,1619
79,1,1119,1357,33,8729,3.573e+04,4.969e+06,329,21.1,4.845e+06,4.845e+05,31.43,1.455,40.56,73.66,87.09,26.62,1.946e+04,1431
80,1,1119,1357,33,1.130e+04,4.738e+04,6.359e+06,378.9,21.1,6.2e+06,6.2e+05,33.31,1.575,37.23,79.53,86.67,45.6,2.521e+04,1813
81,1,1119,1357,33,5279,1.954e+04,2.843e+06,243.5,21.1,2.772e+06,2.772e+05,29.97,1.437,40.26,28.77,52.44,19.16,1.177e+04,961.6
82,2,1119,1357,33,3611,1.267e+04,1.933e+06,196.1,21.1,1.885e+06,1.885e+05,30.02,1.452,39.45,27.91,50.98,17.77,8052,701.8
83,2,1198,1553,26,0,0,7.824e+04,11.15,8.197,7.628e+04,7628,7.318,0.3848,16.02,13.52,16.19,12.32,1766,292.7
84,1,576,1488,40,4528,1.041e+04,2.946e+06,177.8,14.95,2.873e+06,2.873e+05,35.2,1.693,40.8,101.9,103.3,34.61,2.191e+04,1278
85,2,1169,1434,30,1465,6362,9.375e+05,139.2,19.56,9.141e+05,9.141e+04,22.52,1.018,21.24,20.35,28.84,2.379,3267,340.5
86,2,1364,1492,25,87,160,8.279e+04,24.67,9.73,8.072e+04,8072,10.35,0.4535,12.33,8.328,nan,10.24,722.4,134.4
87,2,1413,1491,29,178,364,2.533e+05,35.02,12.23,2.469e+05,2.469e+04,14.76,0.5832,20.69,11.44,17.75,10.54,2560,283.7
88,1,1059,444,40,7.933e+04,3.701e+05,1.231e+08,1058,34.65,1.2e+08,1.2e+07,91.56,5.055,61.88,112.1,134.2,59.79,4.306e+05,1.512e+04
89,1,1459,621,36,6115,1.215e+04,8.331e+06,192.1,24.88,8.123e+06,8.123e+05,31.52,1.238,13.43,19.49,19.52,3.689,7.63e+04,3984
90,2,556,1384,29,1265,3227,6.512e+05,99.46,13.42,6.349e+05,6.349e+04,19.11,0.8831,20.05,28.95,34.98,8.261,4952,430
91,1,577,1863,42,1.518e+04,8.092e+04,1.259e+07,495,21.15,1.228e+07,1.228e+06,49.27,2.356,86.37,72.46,127.4,24.45,3.385e+04,2019
92,1,1059,444,40,6.091e+04,3.204e+05,8.27e+07,984.9,34.65,8.064e+07,8.064e+06,84.97,4.947,62.32,109.4,133.1,60.94,2.874e+05,1.124e+04
93,2,1339,1369,27,37,37,4.335e+04,15.37,9.449,4.227e+04,4227,4.999,0.1523,15.7,8.211,5.505,11.02,796,131.4
94,2,1341,1522,26,70,70,5.689e+04,18.33,9.89,5.547e+04,5547,5.374,0.2396,8.853,14.13,4.496,20.22,909.7,182.2
95,2,1369,1530,28,182,212,1.416e+05,27.68,10.22,1.381e+05,1.381e+04,10.31,0.4319,11.74,14.93,12.37,6.086,1866,262.8
96,2,663,1646,28,413,685,1.62e+05,46.88,24.43,1.58e+05,1.58e+04,7.007,0.3023,6.715,14.1,nan,11.48,920.9,203.1
97,2,674,1719,28,217,592,7.538e+04,43.77,12.21,7.35e+04,7350,10.37,0.4466,7.874,13.13,nan,5.843,582,137.4
98,1,577,1863,42,8387,4.22e+04,6.784e+06,357.6,21.15,6.614e+06,6.614e+05,40.32,1.9,30.21,55.97,64.48,28.98,1.87e+04,934.8
99,1,577,1863,42,1.024e+04,4.924e+04,7.944e+06,386.2,21.15,7.746e+06,7.746e+05,40.23,1.88,31.01,77.67,77.8,16.35,2.283e+04,1281
100,1,1488,712,38,1731,2702,3.393e+06,91.12,11.36,3.308e+06,3.308e+05,29.27,1.313,99.57,82.08,145.9,35.93,3.489e+04,2751
101,2,1419,754,35,700,1374,1.606e+06,65.45,11.3,1.566e+06,1.566e+05,22.21,0.9472,83.51,29.66,78.97,22.56,1.666e+04,1338
102,2,1132,1395,29,430,850,1.284e+05,51.93,16.55,1.252e+05,1.252e+04,8.687,0.3799,14.48,10.55,9.67,9.99,958.8,164.3
103,2,1235,1450,29,751,1136,1.381e+05,59.69,12.79,1.347e+05,1.347e+04,7.062,0.3165,27.48,9.215,18.95,6.095,1675,289.7
104,1,1338,1463,30,5024,1.606e+04,1.89e+06,220.8,18.06,1.842e+06,1.842e+05,18.83,0.8058,64.81,40.76,81.67,26.27,1.124e+04,967.6
105,1,1338,1463,30,3942,1.247e+04,1.515e+06,194.6,18.06,1.477e+06,1.477e+05,18.8,0.7987,28.67,52.82,60.75,26.13,8790,686.9
106,1,1185,1497,35,1467,3507,4.132e+05,103.6,11.65,4.029e+05,4.029e+04,19.33,0.9075,39.63,14.04,34.06,24.43,3449,367.3
107,2,1177,1506,27,497,826,1.158e+05,51.23,11.6,1.129e+05,1.129e+04,7.045,0.3139,11.5,10.18,nan,32.77,1365,194.1
108,1,1059,444,40,5.862e+04,2.956e+05,6.505e+07,945.9,34.65,6.342e+07,6.342e+06,74.37,4.145,87.77,231.8,231.2,165.1,2.306e+05,1.102e+04
109,1,1059,444,40,5.39e+04,2.781e+05,5.75e+07,917.6,34.65,5.607e+07,5.607e+06,73.34,4.087,58.95,106.3,127.5,50.42,1.779e+05,7281
110,1,1059,444,40,3.977e+04,2.411e+05,3.867e+07,854.4,34.65,3.77e+07,3.77e+06,72.64,3.966,60.02,108.1,129.8,40.18,9.937e+04,3987
111,1,1059,444,40,5.566e+04,2.846e+05,5.912e+07,928.1,34.65,5.764e+07,5.764e+06,73.45,4.093,59.94,107.6,129.3,53.98,1.85e+05,7804
112,2,1130,1456,30,697,1250,1.339e+05,62.51,11.48,1.305e+05,1.305e+04,7.082,0.3201,13.47,10.69,8.386,3.481,1554,244.9
113,2,1338,1463,30,1189,2422,3.518e+05,86.34,18.06,3.43e+05,3.43e+04,12.13,0.5362,15.68,25.27,27.14,7.572,2651,337.5
114,2,1158,1487,30,893,1653,1.821e+05,71.61,11.61,1.776e+05,1.776e+04,8.83,0.4077,26.98,12.44,24.01,6.424,1991,277.7
115,1,1537,1651,33,1401,2246,2.816e+06,83.2,12.51,2.745e+06,2.745e+05,21.81,0.913,110.6,43.67,111.6,65.5,2.804e+04,1457
116,1,1059,444,40,3.738e+04,2.258e+05,3.615e+07,826.9,34.65,3.524e+07,3.524e+06,71.46,4.025,61.7,101.8,127.6,44.43,9.207e+04,3646
117,1,1059,444,40,2.925e+04,1.898e+05,2.932e+07,758,34.65,2.859e+07,2.859e+06,70.44,3.632,67.94,106.8,137.4,52.97,6.573e+04,2485
118,1,1059,444,40,2.88e+04,1.814e+05,2.831e+07,741.1,34.65,2.76e+07,2.76e+06,70.43,3.633,70.77,115.9,146.2,35.52,6.454e+04,2479
119,1,1059,444,40,2.713e+04,1.597e+05,2.532e+07,695.3,34.65,2.469e+07,2.469e+06,64.74,3.279,69.11,95.54,130.9,43.12,6.064e+04,2431
120,1,1059,444,40,2.567e+04,1.404e+05,2.305e+07,652.1,34.65,2.247e+07,2.247e+06,62.93,3.183,70.17,95.1,131.6,44.89,5.724e+04,2553
121,1,1459,621,36,4384,9446,2.746e+06,169.5,24.88,2.677e+06,2.677e+05,19.93,0.7956,13.13,18.72,18.43,6.369,2.549e+04,1693
122,1,1459,621,36,3856,8808,1.513e+06,163.7,24.88,1.475e+06,1.475e+05,17.13,0.8003,11.95,17.85,15.91,6.891,1.199e+04,1102
123,1,1459,621,36,3392,8252,1.246e+06,158.4,24.88,1.215e+06,1.215e+05,17.14,0.8037,11.56,17.59,15.07,6.688,9178,875
124,1,1315,1341,43,3097,2.329e+04,7.079e+06,265.8,28.44,6.902e+06,6.902e+05,78.02,3.8,18.79,30.42,34.65,3.745,1.393e+04,845.2
125,2,1378,1401,36,883,2044,5.191e+05,79.44,12.77,5.061e+05,5.061e+04,15.33,0.6424,20.03,32.31,37.41,15.65,3815,382.3
126,1,1059,444,40,2.231e+04,1.152e+05,1.998e+07,590.6,34.65,1.948e+07,1.948e+06,44.03,1.853,71.12,97.17,134,43.43,4.975e+04,2386
127,1,1059,444,40,1.802e+04,8.273e+04,1.571e+07,500.5,34.65,1.532e+07,1.532e+06,31.44,1.198,78.56,42.68,92.47,30.56,4.018e+04,2323
128,1,1357,441,37,1.026e+04,2.666e+04,4.402e+06,284.3,20.24,4.292e+06,4.292e+05,20.32,0.8543,107.7,25.97,84.16,78.02,2.842e+04,1780
129,2,1175,479,37,1842,4455,5.205e+05,116.7,15.29,5.075e+05,5.075e+04,15.73,0.7341,12.57,28.57,25.27,13.31,4127,453.9
130,2,1459,621,36,849,2498,4.151e+05,87.67,24.88,4.047e+05,4.047e+04,15.15,0.6275,9.416,14.63,7.323,4.93,1893,274.8
131,2,1488,712,38,1013,1310,9.96e+05,63.95,11.36,9.711e+05,9.711e+04,23.82,1.017,27.87,40.76,51.88,13.26,9249,848.2
132,1,1315,1341,43,3090,2.329e+04,5.758e+06,265.7,28.44,5.614e+06,5.614e+05,75.71,3.829,17.46,29.32,32.28,11.28,1.132e+04,698.8
133,1,1315,1341,43,2168,1.849e+04,3.774e+06,236.8,28.44,3.679e+06,3.679e+05,67.91,3.147,15.63,26.46,27.97,10.74,7088,561.5
134,1,1315,1341,43,2256,1.873e+04,3.892e+06,238.4,28.44,3.794e+06,3.794e+05,68.18,3.198,15.74,26.38,28.04,11.49,7441,585.3
135,2,1315,1341,43,1757,1.761e+04,3.166e+06,231.1,28.44,3.087e+06,3.087e+05,46.54,1.486,15.31,22.69,24.66,2.105,5218,415.1
136,2,1102,1423,31,545,1286,1.713e+05,63.38,14.11,1.67e+05,1.67e+04,8.743,0.3867,10.26,16.04,11.16,4.307,1215,197.1
137,2,1583,1649,34,134,134,3.369e+05,23.02,9.59,3.285e+05,3.285e+04,12.32,0.5766,14.9,47.85,39.67,29.21,5552,567.4
138,2,1537,1651,33,1256,2101,7.105e+05,80.52,12.51,6.928e+05,6.928e+04,13.59,0.5564,26.31,43.24,51.92,19.66,6457,498.7
139,2,572,1722,31,734,1361,1.569e+05,65.14,13.91,1.53e+05,1.53e+04,6.897,0.2803,9.308,16.75,10.08,12.95,1677,289.7
140,1,1059,444,40,1.608e+04,7.381e+04,1.441e+07,472.8,34.65,1.405e+07,1.405e+06,29.88,1.151,78.17,43.05,92.64,41.72,3.585e+04,2138
141,1,1059,444,40,1.223e+04,5.739e+04,1.195e+07,416.9,34.65,1.165e+07,1.165e+06,26.84,1.069,71.27,44.71,90.06,27.51,2.726e+04,1511
142,2,1357,441,37,5220,1.48e+04,1.904e+06,211.9,20.24,1.857e+06,1.857e+05,18.7,0.792,53.79,21.24,52.05,32.28,1.164e+04,863.1
143,2,1390,683,32,463,463,1.27e+05,39.06,10.81,1.238e+05,1.238e+04,5.151,0.1829,18.87,13.72,19.34,6.783,2165,280.7
144,2,1007,1056,37,318,961,5.951e+05,55.07,12.27,5.803e+05,5.803e+04,16.28,0.576,24.02,15.43,25.86,7.151,4406,343.4
145,2,1067,1279,33,1274,3010,7.15e+05,96.1,12.43,6.971e+05,6.971e+04,21.24,1.04,34.61,22.65,41.97,11.19,5088,495.8
146,2,1322,1404,33,546,1010,1.469e+05,56.4,16.22,1.432e+05,1.432e+04,6.896,0.2775,10.67,13.34,8.127,3.016,1217,191.1
147,2,1256,1440,33,620,796,8.782e+04,50.34,11.81,8.563e+04,8563,7.048,0.313,22.54,8.523,14.05,6.93,1382,238.9
148,1,1136,407,38,4615,2.112e+04,4.963e+06,253.1,33.54,4.839e+06,4.839e+05,22.1,0.9238,29.37,39.93,52.81,17.6,1.029e+04,851.1
149,2,1425,597,33,336,417,5.423e+04,37.24,13.72,5.288e+04,5288,nan,nan,9.195,12.52,nan,25.39,802.7,134.4
150,2,1252,1393,35,214,330,8.044e+04,33.51,10.57,7.843e+04,7843,8.848,0.4131,13.28,8.265,nan,8.951,1084,182.2
151,2,1281,1447,35,668,1387,1.509e+05,65.75,12.25,1.472e+05,1.472e+04,10.5,0.4761,21.56,9.065,14.36,16.43,1489,238.9
152,1,624,1657,39,1.805e+04,7.162e+04,1.102e+07,465.7,21.15,1.074e+07,1.074e+06,30.44,1.271,36.13,80.6,85.94,30.27,4.975e+04,2783
153,2,705,1458,36,1282,3552,6.572e+05,104.3,12.86,6.408e+05,6.408e+04,18.67,0.7793,33.06,19.47,37.29,16.54,4515,462.9
154,1,576,1488,40,3263,7182,1.445e+06,147.9,14.95,1.409e+06,1.409e+05,20.77,0.9207,28.58,69.63,70.35,15.35,1.182e+04,925.8
155,2,634,1802,34,928,2179,3.278e+05,81.97,18.81,3.196e+05,3.196e+04,8.61,0.3633,18.68,14.94,20.67,5.269,2069,265.8
156,1,577,1863,42,5577,1.68e+04,3.032e+06,225.8,21.15,2.957e+06,2.957e+05,26.97,1.392,11.1,25.35,20.81,12.9,1.244e+04,943.7
157,2,525,1897,38,1797,6335,1.064e+06,138.9,20.06,1.038e+06,1.038e+05,19.32,0.9068,26.16,15.39,27.45,9.945,4007,346.4
158,2,1398,529,35,2322,4484,9.414e+05,117,18.38,9.179e+05,9.179e+04,8.098,0.2698,49.78,23.99,53.34,22.09,8787,603.3
159,2,1408,616,33,404,420,5.689e+04,37.36,14.54,5.547e+04,5547,nan,nan,9.011,18.16,11.05,15.97,900.8,185.2
160,1,999,817,42,1.401e+04,3.406e+04,1.782e+07,321.3,14.67,1.737e+07,1.737e+06,62.78,2.921,145.5,68.16,160.9,71.52,7.74e+04,3560
161,2,1133,1317,35,597,1756,2.242e+05,73.75,13.61,2.186e+05,2.186e+04,16.01,0.786,10.57,11.64,3.855,6.525,1331,215
162,2,576,1488,40,1985,3982,4.707e+05,110.3,14.95,4.589e+05,4.589e+04,16.17,0.8231,26.22,48.1,54.98,12.78,4426,680.9
163,2,1185,1497,35,473,1014,1.117e+05,56.51,11.65,1.09e+05,1.09e+04,7.148,0.3372,9.043,13.11,1.718,30.08,1055,170.2
164,2,1440,452,38,2253,4837,6.04e+05,121.5,15.9,5.889e+05,5.889e+04,11.95,0.4932,22.53,12.95,21.47,5.096,5024,516.7
165,2,1131,469,37,1025,2886,7.369e+05,94.13,28.81,7.185e+05,7.185e+04,12.16,0.5416,12.45,25.45,22.95,6.058,2285,259.8
166,2,1118,516,35,1476,2777,4.125e+05,92.36,16.67,4.022e+05,4.022e+04,12.28,0.568,26.23,10.42,20.3,17.99,3291,442
167,1,999,817,42,2520,8904,1.599e+06,164.5,14.67,1.559e+06,1.559e+05,24.18,1.069,20.66,39.75,43.12,16.08,7563,516.7
