ncl,cltype,maxpix x,maxpix y,maxpix v,ra dec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
16,2,823,1693,35,12h01m54.3607s -18d53m11.3126s,1,,,3.53E+04,11.15,1.3581892,1.01E+06,1.01E+05,26.36363636,0.8,19.66,2.374,17.96,12.75,17.17,8.098,2421,274.8,1094,141.8,4.54E+07,6.53E+07,7.584,4.09
17,2,1048,419,42,12h01m55.6174s -18d53m11.2145s,345,2287,7522,3.31E+05,42.93,7.182637,6.11E+06,6.11E+05,16.98113208,0.8,11.4,0.3798,42.54,18.77,42.43,13.58,6,570.4,1081,110.9,6.10E+06,5.91E+06,1.045,0.3572
18,2,1280,1427,20,12h01m54.6231s -18d53m11.5226s,2,,,1.81E+04,11.15,1.9970152,4.91E+05,4.91E+04,25,0.8,10.08,0.422,9.273,19.06,12.52,15.46,1168,167.2,996.8,311.3,1.49E+07,5.53E+07,3.004,3.73
19,2,1305,1195,60,12h01m54.8519s -18d53m10.9626s,2,,,1.23E+05,11.15,1.6557966,3.34E+06,3.34E+05,25,0.8,21.21,0.8434,19.39,35.19,38.64,18.75,6459,489.8,712.6,76.15,1.53E+07,2.23E+07,6.025,3.023
20,2,1347,1336,67,12h01m54.7128s -18d53m10.8646s,2,,,6.98E+04,11.15,1.7698662,1.90E+06,1.90E+05,25,0.8,23.32,1.113,15.51,25.03,26.76,5.929,254,256.8,843.5,86.91,3.16E+07,2.14E+07,8.884,2.32
21,2,1112,1413,33,12h01m54.6369s -18d53m11.3406s,2,,,6.80E+04,11.15,1.9624932,1.85E+06,1.85E+05,25,0.8,18.59,0.7323,16.61,27.72,30.1,8.61,5414,654,649.7,67.56,1.37E+07,1.19E+07,6.514,2.04
22,2,656,1628,41,12h01m54.4248s -18d53m11.2286s,1,552,721,1.46E+05,17,2.6107159,4.18E+06,4.18E+05,26.36363636,0.8,14.43,0.6306,31.71,20.43,37.44,12.05,7617,749.6,948.5,97.96,9.72E+06,9.47E+06,2.161,0.7524
23,2,1126,1331,32,12h01m54.7178s -18d53m11.3546s,2,85,85,1.81E+05,11.99,2.4987638,4.91E+06,4.91E+05,25,0.8,23.72,1.091,33.56,18.5,36.47,11.22,7316,692.9,1175,121.2,3.34E+07,3.12E+07,4.841,1.629
24,2,631,1712,27,12h01m54.3419s -18d53m11.4246s,1,582,1013,8.43E+04,18.86,3.7284856,2.42E+06,2.42E+05,26.36363636,0.8,27.17,1.899,9.583,16.05,9.809,11.59,2636,271.8,8003,3001,1.11E+09,3.94E+09,3.466,4.139
25,2,626,1655,39,12h01m54.3982s -18d53m11.2566s,1,365,506,5.52E+04,15.49,3.2808557,1.58E+06,1.58E+05,26.36363636,0.8,9.916,0.2764,17.85,12.89,17.26,4.998,2832,391.2,1692,189.4,1.78E+07,1.56E+07,1.241,0.3865
26,2,1215,1327,41,12h01m54.7217s -18d53m11.2286s,2,21,21,3.58E+04,11.36,2.1437035,9.74E+05,9.74E+04,25,0.8,12.78,0.5661,21.96,13.26,21.43,7.1,1864,250.9,675.4,74.45,9.48E+06,9.51E+06,4.158,1.486
27,2,1383,1385,32,12h01m54.6645s -18d53m11.3546s,2,32,32,3.67E+04,11.47,2.3122935,9.98E+05,9.98E+04,25,0.8,13.52,0.5932,19.32,28.39,33.76,13.46,2827,343.4,278.8,29.58,2.78E+06,3.34E+06,7.157,3.007
28,2,1206,1475,28,12h01m54.5757s -18d53m11.4106s,2,291,312,2.20E+05,13.98,2.7383971,5.99E+06,5.99E+05,25,0.8,23.7,0.8842,18.58,25.85,30.97,8.619,1.08E+04,1039,1987,205.8,6.64E+07,5.60E+07,3.364,1.026
29,2,1286,1130,73,12h01m54.916s -18d53m10.7806s,2,51,51,6.34E+04,11.66,2.276893,1.72E+06,1.72E+05,25,0.8,14.17,0.641,21.4,18.66,27.29,2.654,2932,313.6,736.4,74.06,9.98E+06,3.21E+06,3.682,0.6122
30,2,606,1719,44,12h01m54.335s -18d53m11.1866s,1,1142,2451,1.49E+05,26.16,3.4786625,4.28E+06,4.28E+05,26.36363636,0.8,15.86,0.6665,13.19,35.8,30.62,10.53,5119,474.8,1452,153.3,2.20E+07,2.29E+07,2.085,0.7672
31,2,1290,1438,35,12h01m54.6122s -18d53m11.3126s,2,,,5.42E+04,11.15,1.9519298,1.47E+06,1.47E+05,25,0.8,13.15,0.5556,27.83,16.08,29.54,14.4,3608,409.1,537.9,60.02,5.80E+06,8.52E+06,4.013,2.026
32,2,1314,1184,72,12h01m54.8628s -18d53m10.7946s,2,,,3.17E+04,11.15,1.534179,8.63E+05,8.63E+04,25,0.8,26.91,1.625,8.885,20.96,13.48,16.47,2141,310.6,1510,437.4,1.49E+08,5.48E+08,13.11,16.14
33,2,1417,1491,29,12h01m54.5599s -18d53m11.3966s,2,,,5404,11.15,1.4497458,1.47E+05,1.47E+04,25,0.8,8.215,0.3742,12.77,7.503,nan,9.201,595.3,113.5,nan,nan,nan,nan,nan,nan
34,2,1106,951,38,12h01m55.0926s -18d53m11.2706s,345,475,607,4.30E+04,16.22,3.8563514,1.17E+06,1.17E+05,25,0.8,8.093,0.1776,26.57,10.87,21.29,14.77,1998,241.9,820.6,114.8,4.65E+06,9.69E+06,1.382,0.9706
35,2,1040,1267,39,12h01m54.7809s -18d53m11.2566s,2,,,4.36E+04,11.15,1.7630768,1.19E+06,1.19E+05,25,0.8,16.37,0.5918,28.79,18.83,33.49,15.42,4105,433,336.4,36.39,4.96E+06,6.88E+06,8.773,4.182
36,2,1313,1318,66,12h01m54.7306s -18d53m10.8786s,2,,,1.86E+04,11.15,1.452766,5.05E+05,5.05E+04,25,0.8,21.32,1.331,23.84,9.553,17.08,13.74,1987,280.7,551.3,95.45,2.70E+07,6.54E+07,17.8,14.6
37,2,1186,910,58,12h01m55.1331s -18d53m10.9906s,345,,,1.39E+04,11.15,1.6166841,3.78E+05,3.78E+04,25,0.8,6.564,0.1354,12.82,18.31,17.6,7.75,1391,209.1,387.7,48.47,1.75E+06,2.32E+06,2.327,1.055
38,2,1233,1457,30,12h01m54.5935s -18d53m11.3826s,2,1,1,4.30E+04,11.16,2.0532932,1.17E+06,1.17E+05,25,0.8,17.07,0.9598,20.1,14.77,21.78,14.48,4058,385.3,783.7,106.2,1.93E+07,3.86E+07,6.296,4.29
39,2,508,1904,21,12h01m54.1525s -18d53m11.5085s,1,157,157,5.99E+04,12.66,2.843526,1.72E+06,1.72E+05,26.36363636,0.8,25.82,2.001,14.67,30.7,29.67,10.81,2972,325.5,621.9,66.28,2.57E+07,2.85E+07,13.32,5.439
40,2,1316,1547,17,12h01m54.5047s -18d53m11.5646s,2,,,78,11.15,1.9008482,2.12E+05,2.12E+04,25,0.8,5.32,0.2244,7.12,14.18,nan,6.684,740.3,143.3,nan,nan,nan,nan,nan,nan
41,2,1187,906,40,12h01m55.137s -18d53m11.2426s,345,,,1.66E+04,11.15,1.4046371,4.51E+05,4.51E+04,25,0.8,7.614,0.3378,12.86,15.15,14.31,7.438,2798,415.1,700.7,103.6,5.23E+06,8.18E+06,2.131,1.144
42,2,1182,1479,34,12h01m54.5718s -18d53m11.3266s,2,,,6.59E+04,11.15,1.9809471,1.79E+06,1.79E+05,25,0.8,18.93,0.9669,32.7,14.15,30.21,11.41,4785,421.1,624.8,66.73,1.37E+07,1.56E+07,7,2.826
