ncl,cltype,maxpix x,maxpix y,maxpix v,radec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir,ltemass,tex
175,2,1207,1267,51,12h01m54.7808s -18d53m11.088s,2,211,426,1.42E+05,37.6,8.668465,1.49E+05,1.49E+04,0.9615384615,0.8,10.28,0.426,17.52,12.1,15.8,6.352,1452,197.1,189.7,23.86,2.34E+06,2.84E+06,13,5.493,2.09E+05,11.12
176,2,1180,600,54,12h01m55.4388s -18d53m11.0459s,345,1062,1994,2.18E+05,78.48,12.678475,2.24E+05,2.24E+04,0.9433962264,0.8,13.98,0.6422,7.585,14.24,nan,19.28,2368,352.4,nan,nan,nan,nan,nan,nan,2.14E+05,14.85
177,2,767,972,51,12h01m55.0718s -18d53m11.088s,345,997,2504,2.41E+05,87.77,13.27118,2.52E+05,2.52E+04,0.9615384615,0.8,8.561,0.353,12.93,32.98,28.58,11.86,2223,274.8,98.25,10.72,4.64E+05,5.81E+05,9.625,4.185,2.24E+05,13.61
178,2,1027,1372,55,12h01m54.6773s -18d53m11.032s,2,1886,2673,9.22E+05,90.64,8.867917,9.65E+05,9.65E+04,0.9615384615,0.8,17.62,0.8356,42.64,52.22,74.66,17.55,1.23E+04,1108,55.08,5.533,4.22E+05,3.03E+05,27.82,7.583,1.23E+06,11.21
179,0,1281,1221,57,12h01m54.8262s -18d53m11.004s,2,8276,3.69E+04,6.10E+06,334.6,14.235406,6.38E+06,6.38E+05,0.9615384615,0.8,43.9,2.094,36.06,81.5,86.34,43.84,2.85E+04,1598,272.4,27.66,1.12E+07,1.71E+07,30.21,15.89,8.13E+06,12.13
180,2,1180,807,57,12h01m55.2346s -18d53m11.004s,345,737,1637,1.63E+05,71.27,11.563143,1.68E+05,1.68E+04,0.9433962264,0.8,8.81,0.4029,12,14.55,12.29,2.674,1643,253.8,353.1,39.99,4.11E+06,2.74E+06,6.592,1.69,1.41E+05,13.95
181,2,1153,692,57,12h01m55.348s -18d53m11.0039s,345,5,859,9.88E+04,52.2,12.881155,1.01E+05,1.01E+04,0.9433962264,0.8,8.643,0.3674,15.11,9.456,8.201,6.448,1115,188.1,479.9,146.1,8.05E+06,1.90E+07,6.998,5.578,1.17E+05,15.38
182,1,1281,1221,57,12h01m54.8262s -18d53m11.004s,2,4082,1.55E+04,1.60E+06,216.7,14.235406,1.67E+06,1.67E+05,0.9615384615,0.8,35.21,1.709,26.1,49.22,55.54,17.8,9102,863.1,172.6,17.52,7.10E+06,6.90E+06,47.67,16.66,1.84E+06,14.28
183,2,1138,597,61,12h01m55.4418s -18d53m10.9479s,345,1499,4743,5.90E+05,120.3,17.008305,6.06E+05,6.06E+04,0.9433962264,0.8,19.33,0.9149,13.13,26.31,24.55,14.3,3342,301.6,320.1,39.29,8.97E+06,1.57E+07,17.53,10.49,4.60E+05,16.26
184,1,1192,915,59,12h01m55.1281s -18d53m10.976s,345,2434,6329,6.41E+05,138.9,13.42594,6.71E+05,6.71E+04,0.9615384615,0.8,15.55,0.6949,18.07,48.49,44.78,33.31,5427,582.4,106.4,11.89,1.06E+06,2.37E+06,18.7,14.13,6.06E+05,14.09
185,1,1192,915,59,12h01m55.1281s -18d53m10.976s,345,157,4166,4.32E+05,112.8,13.42594,4.52E+05,4.52E+04,0.9615384615,0.8,13.91,0.6303,12.04,32.45,26.88,13.87,3501,388.2,199.2,22.99,2.64E+06,4.11E+06,13.33,7.106,3.83E+05,14.32
186,2,1192,915,59,12h01m55.1281s -18d53m10.976s,345,106,2407,2.56E+05,86.08,13.42594,2.68E+05,2.68E+04,0.9615384615,0.8,10.69,0.5297,11.59,24.32,20.84,5.977,2364,325.5,196.5,21.26,1.99E+06,1.73E+06,10.29,3.287,2.33E+05,14.58
187,1,1281,1221,57,12h01m54.8262s -18d53m11.004s,2,2628,8993,9.96E+05,165.4,14.235406,1.04E+06,1.04E+05,0.9615384615,0.8,24.43,1.127,35.8,22.89,43.07,11.54,586,603.3,178.7,18.18,4.56E+06,3.72E+06,28.58,8.59,1.11E+06,14.98
188,2,1281,1221,57,12h01m54.8262s -18d53m11.004s,2,1954,6589,7.49E+05,141.7,14.235406,7.83E+05,7.83E+04,0.9615384615,0.8,21,0.9789,16.31,32.33,32.91,15.87,4357,448,230.2,25.14,5.68E+06,8.26E+06,21.47,10.76,8.48E+05,15.25
189,2,1444,1895,57,12h01m54.1614s -18d53m11.0039s,1,1639,398,4.24E+05,110.3,12.98739,4.19E+05,4.19E+04,0.9090909091,0.8,10.17,0.4064,18.92,24.9,30.56,7.281,3951,385.3,142.9,14.67,8.90E+05,6.46E+05,8.727,2.36,6.55E+05,13.52
190,2,1180,881,60,12h01m55.1616s -18d53m10.962s,345,49,1122,1.17E+05,59.33,11.700037,1.23E+05,1.23E+04,0.9615384615,0.8,8.806,0.4016,10.92,13.67,9.178,4.752,1093,182.2,463.7,91.15,7.22E+06,1.13E+07,6.716,3.594,9.91E+04,14.4
191,2,1124,1307,63,12h01m54.7414s -18d53m10.92s,2,1155,2331,6.17E+05,84.73,9.668056,6.46E+05,6.46E+04,0.9615384615,0.8,18.95,0.8384,45.88,15.02,38.87,8.751,5824,561.5,136.1,13.81,2.32E+06,1.60E+06,25.04,6.555,7.35E+05,11.28
192,2,1179,944,59,12h01m55.0995s -18d53m10.976s,345,447,996,1.03E+05,56.03,12.236995,1.08E+05,1.08E+04,0.9615384615,0.8,6.809,0.2589,10.95,12.98,8.085,6.038,996.7,149.3,524.6,154.6,5.54E+06,1.24E+07,4.03,3.052,1.22E+05,14.29
193,2,1342,1304,64,12h01m54.7443s -18d53m10.906s,2,865,26,2.47E+05,89.41,11.886156,2.58E+05,2.58E+04,0.9615384615,0.8,19.15,0.8735,25.04,9.425,17.7,12.26,1929,271.8,262,40.39,9.99E+06,2.08E+07,29.14,20.56,2.10E+05,13.48
194,2,1348,1341,68,12h01m54.7078s -18d53m10.85s,2,1341,7987,8.36E+05,155.9,14.034939,8.75E+05,8.75E+04,0.9615384615,0.8,25.06,0.9922,16.36,24.59,27.44,8.016,299,313.6,369.9,38.83,1.56E+07,1.38E+07,22.81,7.271,9.75E+05,14.41
195,2,1460,1987,61,12h01m54.0706s -18d53m10.9479s,1,612,1468,1.54E+05,67.58,14.572206,1.53E+05,1.53E+04,0.9090909091,0.8,6.911,0.2846,18.8,10.99,15.36,1.643,1365,185.2,205.8,21.02,1.18E+06,4.08E+05,5.57,0.9358,6.20E+05,14.44
196,2,1182,983,64,12h01m55.061s -18d53m10.906s,345,943,2881,2.65E+05,94.05,10.869464,2.77E+05,2.77E+04,0.9615384615,0.8,13.69,0.5771,12.7,22.16,20.81,5.578,2105,241.9,203.3,21.8,3.37E+06,2.75E+06,16.32,4.868,4.71E+05,13.12
197,2,1296,1171,62,12h01m54.8755s -18d53m10.934s,2,382,93,9.68E+04,54.21,11.161458,1.01E+05,1.01E+04,0.9615384615,0.8,8.867,0.417,10.04,11.69,nan,126,851.8,167.2,nan,nan,nan,nan,nan,nan,1.33E+05,14.36
198,2,1317,1208,64,12h01m54.839s -18d53m10.906s,2,423,1196,1.31E+05,61.19,12.194369,1.37E+05,1.37E+04,0.9615384615,0.8,10.44,0.4674,7.888,14.6,nan,35.13,943.2,173.2,nan,nan,nan,nan,nan,nan,1.32E+05,14.88
199,2,1309,1032,65,12h01m55.0127s -18d53m10.892s,2,604,734,3.72E+05,48.44,8.851067,3.89E+05,3.89E+04,0.9615384615,0.8,19.57,0.9683,45.74,11.11,32.13,20.37,6504,791.4,119.8,13.92,2.63E+06,5.02E+06,36.66,23.81,4.11E+05,11.09
200,1,1234,1252,73,12h01m54.7956s -18d53m10.78s,2,148,3671,9.64E+05,106,11.112093,1.01E+06,1.01E+05,0.9615384615,0.8,25.96,1.178,52.75,16.32,44.32,26.8,7409,630.1,163.4,17.66,4.58E+06,8.33E+06,34.32,21.27,1.28E+06,11.5
201,2,1274,1276,72,12h01m54.772s -18d53m10.794s,2,465,754,1.59E+05,49.06,9.69718,1.66E+05,1.66E+04,0.9615384615,0.8,15.83,0.7527,13.03,9.09,nan,33.1,2118,304.6,nan,nan,nan,nan,nan,nan,1.94E+05,11.85
202,1,1284,1129,70,12h01m54.917s -18d53m10.822s,2,184,613,6.39E+05,136.7,12.8007345,6.68E+05,6.68E+04,0.9615384615,0.8,15.74,0.7372,22.08,17.02,26.13,4.695,4103,513.7,311.6,31.81,5.44E+06,3.03E+06,11.22,2.536,9.13E+05,14.36
203,2,1284,1129,70,12h01m54.917s -18d53m10.822s,2,1077,4221,4.54E+05,113.6,12.8007345,4.74E+05,4.74E+04,0.9615384615,0.8,15.64,0.7152,21.4,15.82,24.17,3.919,2401,295.7,258.4,26.36,4.81E+06,2.43E+06,14.43,3.048,5.91E+05,14.67
204,2,1234,1252,73,12h01m54.7956s -18d53m10.78s,2,959,2848,3.95E+05,93.51,11.112093,4.13E+05,4.13E+04,0.9615384615,0.8,20.73,0.9344,27.2,13.89,26.23,8.296,3188,424.1,191.2,20.33,5.77E+06,5.53E+06,31.59,10.86,5.08E+05,12.36
205,2,1292,1069,70,12h01m54.9762s -18d53m10.822s,2,546,944,9.80E+04,54.6,11.691627,1.03E+05,1.03E+04,0.9615384615,0.8,8.793,0.4023,9.346,28.89,20.08,21.75,1217,241.9,80.96,15.4,5.74E+05,1.87E+06,17.53,19.14,1.80E+05,14.33
