ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
11,2,1132,1395,29,2,1904,6220,1.09e+06,137.7,16.55,1.179e+06,1.179e+05,1.04,0.8,21.8,0.8785,31.77,20.86,37.95,11.9,5951,546.5,260.6,26.85,6.009e+06,5.706e+06,17.71,6
12,2,649,1708,14,1,3750,3.343e+04,5.558e+06,318.3,25.9,6.358e+06,6.358e+05,1.1,0.8,44.87,1.989,45.46,21.47,47.63,18.58,8361,576.4,892.1,91.86,6.945e+07,8.18e+07,17.47,7.202
13,2,1322,1404,33,2,1197,3504,6.546e+05,103.6,16.22,7.08e+05,7.08e+04,1.04,0.8,14.85,0.5618,17.25,27.91,31.02,5.123,3824,415.1,234.2,23.72,3.066e+06,1.567e+06,11.19,2.32
14,2,1131,469,37,345,4507,1.554e+04,2.892e+06,217.2,28.81,3.189e+06,3.189e+05,1.06,0.8,17.07,0.7285,20.49,43.99,45.51,11.74,1.005e+04,928.8,490.1,49.71,5.781e+06,4.538e+06,4.818,1.395
15,2,811,1685,28,1,1230,8509,1.145e+06,160.9,20.46,1.309e+06,1.309e+05,1.1,0.8,33.73,1.369,18.78,12.53,17.65,8.481,2743,280.7,1337,172.7,1.588e+08,2.297e+08,17.76,8.835
16,2,1060,403,40,345,3917,1.118e+04,2.335e+06,184.3,31.17,2.574e+06,2.574e+05,1.06,0.8,14.94,0.5753,44.33,19.17,43.99,11.74,8734,934.8,423.4,43.04,3.96e+06,3.209e+06,4.42,1.304
17,2,1279,1432,20,2,379,847,1.686e+05,51.85,14.61,1.823e+05,1.823e+04,1.04,0.8,11.42,0.4102,10.18,19.09,14.26,9.137,1264,170.2,285.4,47.89,4.81e+06,9.263e+06,11.82,7.712
18,2,1281,1221,57,2,2849,8971,2.417e+06,165.2,14.24,2.614e+06,2.614e+05,1.04,0.8,38.19,1.755,29.92,52.59,62.03,26.12,1.205e+04,872,216.3,22.07,9.365e+06,1.19e+07,40.08,17.73
19,2,1348,1341,68,2,870,4507,8.546e+05,117.3,14.03,9.244e+05,9.244e+04,1.04,0.8,25.05,0.9901,16.5,24.76,27.74,10.02,3050,313.6,382.5,41.06,1.594e+07,1.739e+07,21.8,8.352
20,2,661,1627,39,1,4838,1.541e+04,2.238e+06,216.3,20.53,2.561e+06,2.561e+05,1.1,0.8,17.13,0.7293,29.96,22.48,38.33,9.214,1.079e+04,1024,554.7,56.44,7.825e+06,5.735e+06,5.09,1.394
21,2,624,1657,39,1,1521,4944,7.447e+05,122.8,21.15,8.519e+05,8.519e+04,1.1,0.8,15.25,0.6302,30.23,16.73,32.03,14.24,3391,388.2,264.2,28.62,3.534e+06,4.735e+06,10.13,4.691
22,2,1221,1325,41,2,498,1571,3.506e+05,69.85,12.85,3.793e+05,3.793e+04,1.04,0.8,13.81,0.6027,19.98,13.85,20.52,5.108,2395,295.7,286.8,30.52,4.91e+06,3.725e+06,11.94,3.37
