ncl,cltype,maxpix x,maxpix y,maxpix v,radec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir,ltemass,tex (K)
18,2,1279,1432,20,12h01m54.6181s -18d53m11.522s,2,524,1381,1.49E+05,65.61,14.613063,1.69E+05,1.69E+04,1.04,0.8,10.08,0.4147,9.915,16.95,11.57,7.136,1168,167.2,400.8,75.62,6.49E+06,1.20E+07,8.081,5.094,2.28E+05,14.7
19,2,1281,1221,57,12h01m54.8262s -18d53m11.004s,2,2897,1.31E+04,1.33E+06,199,14.235406,1.50E+06,1.50E+05,1.04,0.8,22.62,1.037,20.06,37.57,41,15.36,6459,489.8,284.5,29.5,6.54E+06,7.40E+06,16.17,6.443,1.51E+06,14.13
20,2,1348,1341,68,12h01m54.7078s -18d53m10.85s,2,1139,6862,7.44E+05,144.5,14.034939,8.42E+05,8.42E+04,1.04,0.8,23.63,0.9766,15.41,24.06,25.87,9.396,254,256.8,400.5,43.45,1.59E+07,1.75E+07,19.87,7.664,8.68E+05,14.76
21,2,1102,1423,31,12h01m54.627s -18d53m11.368s,2,2437,7701,8.07E+05,153.1,14.109438,9.14E+05,9.14E+04,1.04,0.8,20.38,0.8474,21.87,15.05,23.65,11,5434,645.1,52,60.38,1.68E+07,2.36E+07,12.45,6.01,8.39E+05,14.42
22,2,661,1627,39,12h01m54.4257s -18d53m11.256s,1,3432,1.15E+04,1.76E+06,186.7,20.525705,2.11E+06,2.11E+05,1.1,0.8,17.09,0.7201,28.19,20.19,34.54,8.487,7652,737.7,561.7,57.43,8.75E+06,6.55E+06,5.548,1.544,1.95E+06,18.94
23,2,1133,1317,35,12h01m54.7315s -18d53m11.312s,2,3281,1.51E+04,1.51E+06,214.1,13.613151,1.71E+06,1.71E+05,1.04,0.8,24.19,1.068,33.41,17.25,34.82,12.24,7316,692.9,448.1,46.82,1.39E+07,1.48E+07,13.83,5.199,2.25E+06,13.96
24,2,634,1708,24,12h01m54.3458s -18d53m11.466s,1,1182,5314,9.05E+05,127.3,21.615976,1.08E+06,1.08E+05,1.1,0.8,25.6,1.113,11.62,18.05,15.61,1.955,2636,271.8,1414,145.5,1.09E+08,4.36E+07,10.94,1.995,1.18E+06,20.5
25,2,624,1657,39,12h01m54.3961s -18d53m11.256s,1,127,368,5.83E+05,106.1,21.148186,6.97E+05,6.97E+04,1.1,0.8,11.9,0.4858,28.3,15.49,29.12,12.9,2832,391.2,261.6,28.76,2.34E+06,3.13E+06,6.848,3.16,7.52E+05,19.4
26,2,1221,1325,41,12h01m54.7236s -18d53m11.228s,2,836,2789,2.86E+05,92.55,12.849559,3.24E+05,3.24E+04,1.04,0.8,13.76,0.5931,19.15,12.83,18.41,9.455,1864,250.9,304,39.64,5.76E+06,8.91E+06,12.47,6.615,4.49E+05,14.21
27,2,1378,1401,36,12h01m54.6487s -18d53m11.298s,2,1268,3524,3.57E+05,103.9,12.771422,4.04E+05,4.04E+04,1.04,0.8,13.75,0.59,12.69,26.32,23.92,14.94,2827,343.4,224.9,28.57,3.27E+06,6.15E+06,12.96,8.272,4.54E+05,14.1
28,2,1235,1450,29,12h01m54.6003s -18d53m11.396s,2,4859,1.74E+04,1.71E+06,229.6,12.79191,1.93E+06,1.93E+05,1.04,0.8,26.09,1.19,22.53,30.3,38.65,11.67,1.08E+04,1039,411.4,42.25,1.33E+07,1.22E+07,15.78,5.223,2.76E+06,13.79
29,2,1284,1129,70,12h01m54.917s -18d53m10.822s,2,1315,5718,5.86E+05,132,12.8007345,6.63E+05,6.63E+04,1.04,0.8,15.65,0.7195,22.14,18.36,27.64,5.208,2932,313.6,276,28.17,4.50E+06,2.62E+06,11.83,2.748,7.90E+05,14.19
30,2,608,1711,42,12h01m54.3429s -18d53m11.214s,1,2296,7683,1.24E+06,152.9,21.053814,1.48E+06,1.48E+05,1.1,0.8,17.47,0.8015,14.48,38.63,34.17,12.07,5119,474.8,403.7,42.27,6.64E+06,7.09E+06,8.153,3.085,2.05E+06,19.65
31,2,1281,1447,35,12h01m54.6033s -18d53m11.312s,2,1618,4878,4.69E+05,122,12.250657,5.31E+05,5.31E+04,1.04,0.8,13.97,0.6408,29.4,18.27,33.3,10.62,3608,409.1,152.5,15.86,1.65E+06,1.59E+06,14.17,4.911,6.71E+05,13.61
32,2,1317,1208,64,12h01m54.839s -18d53m10.906s,2,96,358,3.48E+05,104.7,12.194369,3.94E+05,3.94E+04,1.04,0.8,26.16,1.224,10.46,24.93,19.46,7.792,2141,310.6,331,38.89,2.14E+07,2.59E+07,39.16,16.57,3.88E+05,13.71
33,2,1413,1491,29,12h01m54.5599s -18d53m11.396s,2,267,657,6.69E+04,45.97,12.23474,7.57E+04,7573,1.04,0.8,8.441,0.3227,13.62,7.854,nan,6.333,595.3,113.5,nan,nan,nan,nan,nan,nan,6.61E+04,14.14
34,2,1103,954,38,12h01m55.0896s -18d53m11.27s,345,896,2302,2.60E+05,84.21,13.616856,2.95E+05,2.95E+04,1.04,0.8,10.53,0.485,19.82,10.93,16.19,12.22,1998,241.9,357.6,61.47,4.51E+06,1.02E+07,7.062,5.416,5.68E+05,15.2
35,2,1067,1279,33,12h01m54.769s -18d53m11.34s,2,1841,5401,5.49E+05,128.3,12.429698,6.21E+05,6.21E+04,1.04,0.8,19.6,0.9789,29.89,19.91,35.52,12.66,4105,433,156.6,16.35,3.12E+06,3.37E+06,25.46,9.766,5.32E+05,14.12
36,2,1342,1304,64,12h01m54.7443s -18d53m10.906s,2,891,2782,2.62E+05,92.44,11.886156,2.96E+05,2.96E+04,1.04,0.8,20.89,0.9592,25.35,1,18.97,10.73,1987,280.7,262.1,35.17,1.11E+07,1.89E+07,32.35,18.82,2.24E+05,13.41
37,2,1192,915,59,12h01m55.1281s -18d53m10.976s,345,624,1591,1.76E+05,70.28,13.42594,1.99E+05,1.99E+04,1.04,0.8,8.723,0.3932,12.72,15.47,14.48,4.227,1391,209.1,302.3,35.32,2.93E+06,2.59E+06,6.407,2.059,1.72E+05,14.97
38,2,1256,1440,33,12h01m54.6102s -18d53m11.34s,2,1835,4323,4.09E+05,114.9,11.811618,4.63E+05,4.63E+04,1.04,0.8,17.31,0.7699,19.92,15.41,22.37,11.4,4092,361.4,294.4,35.65,7.26E+06,1.11E+07,16.77,8.834,5.29E+05,13.46
39,2,507,1864,13,12h01m54.1919s -18d53m11.62s,1,1337,5539,1.16E+06,13,24.83971,1.39E+06,1.39E+05,1.1,0.8,27.94,1.293,12.41,27.46,24.29,18.45,2981,322.5,751.3,103,4.45E+07,1.02E+08,15.77,12.17,8.71E+05,24.15
40,2,1311,1547,17,12h01m54.5046s -18d53m11.564s,2,332,496,5.03E+04,40.32,11.724007,5.70E+04,5697,1.04,0.8,5.148,0.183,7.605,14.47,nan,22.39,740.3,143.3,nan,nan,nan,nan,nan,nan,9.90E+04,14.11
41,2,1181,907,37,12h01m55.136s -18d53m11.284s,345,1299,2427,2.69E+05,86.43,13.034801,3.04E+05,3.04E+04,1.04,0.8,8.688,0.3771,13.1,18.97,18.61,8.038,2896,397.2,279.6,34.07,2.09E+06,2.72E+06,5.348,2.416,2.04E+05,14.98
42,2,1185,1497,35,12h01m54.554s -18d53m11.312s,2,2146,7542,7.44E+05,151.5,11.645316,8.42E+05,8.42E+04,1.04,0.8,19.31,0.9036,38.66,16.73,37.4,19.75,4785,421.1,191.5,20.8,3.52E+06,5.59E+06,19.19,10.47,8.07E+05,13.84
43,2,1177,1506,27,12h01m54.5451s -18d53m11.424s,2,952,2023,1.97E+05,79.04,11.601711,2.22E+05,2.22E+04,1.04,0.8,12.15,0.5396,13.07,17.46,17.11,7.769,2123,256.8,241.8,30.92,3.84E+06,5.26E+06,13.15,6.227,2.47E+05,13.7
44,2,1292,1069,70,12h01m54.9762s -18d53m10.822s,2,763,1544,1.52E+05,69.27,11.691627,1.72E+05,1.72E+04,1.04,0.8,8.796,0.4009,10.26,32.23,23.74,13.85,1701,247.9,96.95,12.04,5.82E+05,1.02E+06,12.39,7.422,2.86E+05,13.81
45,2,1537,1651,33,12h01m54.402s -18d53m11.34s,1,1288,235,2.54E+05,85.07,12.51035,3.04E+05,3.04E+04,1.1,0.8,8.82,0.4083,10.04,27.34,20.38,9.835,2872,331.5,233.1,28.59,1.64E+06,2.38E+06,6.036,3.026,2.93E+05,14.74
