ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
38,2,1002,811,38,345,0,0,2.512e+04,11.15,1.489,4.436e+05,4.436e+04,16.98,0.8,15.06,0.8126,11.75,20.29,17.88,13.66,2589,283.7,441.8,71.83,1.033e+07,2.371e+07,10.59,8.238
39,2,1157,381,55,345,0,0,2.416e+04,11.15,2.323,4.267e+05,4.267e+04,16.98,0.8,17.15,0.8884,14.65,9.726,8.139,12.31,1291,218,2050,1162,1.364e+08,6.194e+08,6.494,9.869
40,2,1235,1252,74,2,0,0,1.55e+04,11.15,1.552,4.029e+05,4.029e+04,25,0.8,12.85,0.4955,11.04,9.694,nan,10.21,1106,167.2,nan,nan,nan,nan,nan,nan
41,2,660,1651,17,1,0,0,7550,11.15,1.824,2.07e+05,2.07e+04,26.36,0.8,2.409,1.171,8.679,6.227,nan,1.777,724.7,143.3,nan,nan,nan,nan,nan,nan
42,2,1339,1593,19,1,0,0,3297,11.15,1.606,9.04e+04,9040,26.36,0.8,nan,nan,7.909,11.96,nan,6.635,441.5,98.55,nan,nan,nan,nan,nan,nan
43,2,1140,604,61,345,0,0,8731,11.15,1.841,1.542e+05,1.542e+04,16.98,0.8,9.215,0.3398,8.381,10.67,nan,3.66,1122,170.2,nan,nan,nan,nan,nan,nan
44,2,577,1867,42,1,2616,5792,3.685e+05,38.05,7.977,1.01e+07,1.01e+06,26.36,0.8,19.44,0.9611,19.73,46.75,46.12,26.76,1.111e+04,970.6,1512,161.6,2.281e+07,3.983e+07,1.997,1.192
45,2,1354,449,38,345,327,446,3.644e+04,15.04,4.406,6.436e+05,6.436e+04,16.98,0.8,8.736,0.4765,10.47,13.63,8.177,7.913,1882,286.7,3064,1130,5.268e+07,1.531e+08,1.123,1.1
46,2,1178,950,60,345,0,0,6062,11.15,1.787,1.576e+05,1.576e+04,25,0.8,5.892,0.2107,9.171,13.28,3.427,23.75,720.2,128.4,4271,2.591e+04,7.97e+07,1.657e+09,0.8743,6.059
47,2,1109,490,43,345,66,66,2.269e+04,11.81,2.933,4.007e+05,4.007e+04,16.98,0.8,6.585,0.2258,18.7,11.92,16.7,8.845,1623,310.6,457.5,63.15,2.189e+06,3.488e+06,2.093,1.137
48,2,1007,1057,35,2,0,0,8101,11.15,1.418,2.106e+05,2.106e+04,25,0.8,7.22,0.2413,12.31,7.463,nan,7.922,753.6,131.4,nan,nan,nan,nan,nan,nan
49,2,639,1798,33,1,0,0,1.507e+04,11.15,2.184,4.133e+05,4.133e+04,26.36,0.8,7.426,0.4358,14.69,10.07,8.987,6.724,1061,167.2,1629,438.2,1.841e+07,4.142e+07,1.389,1.061
50,2,962,1253,43,2,0,0,1.686e+04,11.15,1.124,4.384e+05,4.384e+04,25,0.8,9.777,0.7456,12.54,33.6,28.34,20.86,3543,421.1,173.7,22.02,1.079e+06,2.391e+06,7.159,5.428
51,2,1120,976,38,345,0,0,1.68e+04,11.15,2.319,4.368e+05,4.368e+04,25,0.8,7.25,0.2988,11.71,17.22,14.92,13.31,1592,221,624.6,128.3,4.053e+06,1.086e+07,2.079,1.875
52,2,1333,1317,50,2,0,0,4714,11.15,1.054,1.226e+05,1.226e+04,25,0.8,15.93,0.909,8.949,5.881,nan,0.7101,499.5,110.5,nan,nan,nan,nan,nan,nan
53,2,1169,818,45,345,0,0,1.553e+04,11.15,1.747,2.743e+05,2.743e+04,16.98,0.8,10.06,0.4921,18.61,28.02,32.67,10.76,2303,364.3,81.77,8.543,4.67e+05,4.66e+05,13.98,5.001
54,2,570,1784,44,1,245,489,3.062e+04,15.36,4.917,8.395e+05,8.395e+04,26.36,0.8,7.645,0.2674,33.36,8.075,20.04,6.603,1391,316.6,665.3,74.19,3.575e+06,3.56e+06,1.616,0.5678
55,2,1231,1605,26,1,0,0,1.515e+04,11.15,1.809,4.153e+05,4.153e+04,26.36,0.8,9.93,0.4846,14.31,8.88,5.061,13.73,1853,271.8,5160,8311,1.852e+08,1.507e+09,1.392,3.781
56,2,1125,639,52,345,0,0,2.668e+04,11.15,1.805,4.712e+05,4.712e+04,16.98,0.8,16.53,0.7688,15.3,12.06,13.33,7.356,1545,209.1,843.8,134.5,3.185e+07,5.29e+07,8.951,5.088
57,2,1199,1033,39,2,0,0,6119,11.15,1.656,1.591e+05,1.591e+04,25,0.8,nan,nan,13.3,10.51,7.704,6.974,666.7,125.4,853.3,312.7,nan,nan,nan,nan
58,2,1459,1986,61,1,189,272,1.296e+04,13.65,5.805,3.552e+05,3.552e+04,26.36,0.8,4.716,0.2083,12.99,6.075,nan,6.9,472.7,107.5,nan,nan,nan,nan,nan,nan
59,2,1089,794,46,345,0,0,5406,11.15,1.834,9.547e+04,9547,16.98,0.8,6.382,0.3027,6.65,7.161,nan,0.4639,706.8,140.4,nan,nan,nan,nan,nan,nan
60,2,1443,1891,58,1,0,0,1.183e+04,11.15,1.781,3.244e+05,3.244e+04,26.36,0.8,5.353,0.2315,9.689,14.74,8.196,7.246,1186,176.2,1537,520.6,9.898e+06,2.628e+07,0.8384,0.7494
61,2,1017,478,44,345,0,0,2026,11.15,1.308,3.578e+04,3578,16.98,0.8,nan,nan,8.777,13.5,1.693,18.89,421.4,92.58,3974,7.861e+04,nan,nan,nan,nan
62,2,1190,887,58,345,0,0,5921,11.15,1.259,1.539e+05,1.539e+04,25,0.8,9.171,0.6504,9.679,11.8,nan,11.56,860.7,167.2,nan,nan,nan,nan,nan,nan
63,2,1373,1534,28,2,0,0,3566,11.15,1.051,9.272e+04,9272,25,0.8,7.46,0.4402,9.099,6.334,nan,1.577,784.9,146.3,nan,nan,nan,nan,nan,nan
