ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
114,2,1408,747,35,345,0,0,1.819e+04,11.15,1.308,3.212e+05,3.212e+04,16.98,0.8,7.937,0.2502,16.56,19.53,23.33,7.371,2493,292.7,187.9,20.28,9.343e+05,8.924e+05,5.299,1.787
115,2,1126,1361,35,2,0,0,1.498e+04,11.15,2.084,3.894e+05,3.894e+04,25,0.8,7.196,0.2536,19.84,11.62,17.29,9.976,1255,221,414.8,58.71,2.289e+06,3.974e+06,2.662,1.571
116,1,1261,1394,33,2,0,0,8184,11.15,1.659,2.128e+05,2.128e+04,25,0.8,8.266,0.3243,14.5,7.434,nan,17.43,1084,182.2,nan,nan,nan,nan,nan,nan
117,2,1261,1394,33,2,0,0,4559,11.15,1.659,1.185e+05,1.185e+04,25,0.8,nan,nan,6.728,11.07,nan,5.155,802.7,149.3,nan,nan,nan,nan,nan,nan
118,2,1290,1439,35,2,0,0,1.576e+04,11.15,1.913,4.099e+05,4.099e+04,25,0.8,9.195,0.3023,20.9,8.759,13.18,13.4,1489,238.9,751.4,189.5,8.88e+06,2.712e+07,3.148,3.224
119,2,624,1792,33,1,0,0,2.808e+04,11.15,2.342,7.698e+05,7.698e+04,26.36,0.8,7.949,0.3662,19.03,13.77,19.55,7.063,2069,265.8,641,73.29,3.816e+06,4.168e+06,1.858,0.7173
120,1,577,1867,42,1,2983,6913,4.497e+05,41.28,7.977,1.233e+07,1.233e+06,26.36,0.8,19.55,0.9609,21.31,51.26,50.76,30.66,1.244e+04,943.7,1524,161.8,2.113e+07,3.841e+07,1.822,1.13
121,2,526,1898,40,1,63,63,8.454e+04,11.78,2.93,2.318e+06,2.318e+05,26.36,0.8,15.83,0.7257,22.72,14.23,23.32,12.01,4007,346.4,1356,162.7,2.685e+07,4.165e+07,2.922,1.556
122,2,1354,449,38,345,397,547,1.389e+05,15.79,4.406,2.453e+06,2.453e+05,16.98,0.8,13.9,0.6464,12.26,17.22,15.73,7.397,7447,636.1,3154,423.6,7.141e+07,1.012e+08,1.436,0.7032
123,2,1407,619,33,345,10,10,7407,11.25,2.481,1.308e+05,1.308e+04,16.98,0.8,nan,nan,9.273,17.8,11.23,18.26,900.8,185.2,330.2,147.2,nan,nan,nan,nan
124,2,1007,1057,35,2,0,0,1.702e+04,11.15,1.418,4.424e+05,4.424e+04,25,0.8,7.278,0.2043,18.27,11.99,16.4,8.157,1449,188.1,523.6,70.78,3.114e+06,4.661e+06,2.274,1.161
