ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,vel disp,delta fwhm,delta vel disp,LCO,delta LCO,Mlum,mvir,delta mvir,nvox,tpk
C200,78.235,-69.115,235,3.7,2.6,76,,,0.82,0.3482219381,0.45,0.1910974051,460,32,2631.2,0,0,35,2.49
C201,78.237,-69.581,231.2,9.5,5.4,36,9,0.48,1.15,0.4883600352,0.55,0.2335634951,4330,44,24767.6,12500,1210,76,3.58
C202,78.244,-69.601,233.2,16.1,5.1,160,11.2,0.8,0.82,0.3482219381,0.93,0.3949346371,5560,85,31803.2,7700,2090,47,2.25
C203,78.271,-69.652,236,8,9.2,128,13.8,0.92,,0,,0,190,101,1086.8,0,0,11,2.17
C204,78.276,-69.629,235.2,12.9,10.8,175,20.7,0.36,2.43,1.031925987,0.3,0.12739827,8040,42,45988.8,127200,670,97,2.58
C205,78.333,-69.609,232.2,9.1,4.1,54,,,1.59,0.6752108312,0.28,0.118905052,5640,45,32260.8,0,0,112,2.51
C206,78.345,-67.482,288.3,9,6.9,48,12.1,0.28,1.34,0.5690456062,0.16,0.06794574402,2010,11,11497.2,22600,430,232,1.91
C207,78.349,-69.378,236.3,13.1,8.8,104,18.3,0.12,2.61,1.108364949,0.08,0.03397287201,17270,3,98784.4,129700,230,1178,8.06
C208,78.435,-69.588,238.1,8.3,3.5,76,,,1.75,0.7431565753,0.29,0.123151661,4800,42,27456,0,0,111,3.39
C209,78.462,-67.402,283.3,11.4,10.3,68,18.8,0.23,1.61,0.6837040492,0.21,0.08917878903,3670,12,20992.4,50300,500,326,1.83
C210,78.504,-69.604,239.2,21.7,6.5,82,18.9,0.24,1.59,0.6752108312,0.26,0.110411834,11800,27,67496,49700,580,149,3.66
C211,78.527,-70.222,235.9,11.9,7.7,31,15.7,0.61,1.46,0.6200049142,0.61,0.2590431491,4160,69,23795.2,34700,1380,92,1.7
C212,78.628,-70.181,236.3,11.3,8.9,32,16.9,0.15,1.41,0.5987718692,0.13,0.05520591702,8390,12,47990.8,34900,290,379,3.22
C213,78.634,-68.782,266.2,12.7,7.6,136,16.1,0.22,1.54,0.6539777862,0.13,0.05520591702,6190,7,35406.8,39600,370,452,2.27
C214,78.647,-68.814,263.8,9.3,4.4,177,,,0.93,0.3949346371,0.54,0.2293168861,1810,66,10353.2,0,0,55,1.67
C215,78.649,-67.439,295.1,11.5,5.9,84,11.8,0.24,1.07,0.4543871632,0.21,0.08917878903,3040,11,17388.8,14100,490,294,1.93
C216,78.697,-70.588,217.8,8.8,7.4,125,12.5,0.58,0.99,0.4204142911,0.73,0.3100024571,2510,39,14357.2,12900,1680,101,2.01
C217,78.706,-70.563,219.5,7.3,5.9,165,8.6,0.6,0.62,0.2632897581,0.79,0.3354821111,760,70,4347.2,3400,1650,59,1
C218,78.764,-70.563,218.1,8.1,6.1,60,9.8,0.45,1.46,0.6200049142,0.27,0.114658443,2230,38,12755.6,21900,720,120,1.93
C219,78.851,-70.568,216.7,5.3,3.9,146,,,1.1,0.4671269902,0.33,0.140138097,780,28,4461.6,0,0,76,1.53
C220,78.923,-67.983,282.2,20.8,5.8,116,16.3,0.68,1.36,0.5775388242,0.73,0.3100024571,10220,106,58458.4,31200,1550,50,3.11
C221,78.944,-68.075,282.7,31.5,11.1,169,33.9,0.11,2.6,1.10411834,0.09,0.03821948101,25100,9,143572,237100,260,1113,2.89
C222,78.955,-68.068,287.5,8.1,4.9,66,6,1.11,1.02,0.4331541181,0.99,0.4204142911,1340,101,7664.8,6500,2360,29,1.65
C223,78.975,-67.973,282.5,12.8,6.9,114,15,0.75,0.3,0.12739827,1.45,0.6157583052,1110,190,6349.2,1400,2830,15,2.41
C224,78.99,-67.96,278.4,12.1,3.5,89,,,0.56,0.2378101041,1.65,0.7006904852,1030,157,5891.6,0,0,20,1.78
C225,79.013,-68.223,282.9,6.2,4.8,150,4.7,1.05,0.67,0.2845228031,0.46,0.1953440141,650,53,3718,2200,1430,43,1.74
C226,79.036,-68.057,284.6,7.4,5.6,25,8,0.47,1.37,0.5817854332,0.3,0.12739827,1390,34,7950.8,15600,780,116,1.71
C227,79.055,-67.969,281.4,5.9,5.7,78,6.7,1.71,2.59,1.099871731,1.15,0.4883600352,6520,200,37294.4,46500,2690,34,2.48
C228,79.095,-68.249,281.9,13.2,7.6,141,16.4,0.38,1.88,0.7983624923,0.42,0.1783575781,3130,34,17903.6,60500,910,123,1.22
C229,79.113,-68.364,279.3,7.1,3.4,121,,,1.56,0.6624710042,0.5,0.2123304501,1010,36,5777.2,0,0,58,1.38
C230,79.131,-68.123,279.9,10.2,5.7,167,10.5,0.3,1.33,0.5647989972,0.25,0.106165225,3240,17,18532.8,19200,530,243,1.99
C231,79.145,-68.221,277.3,17.4,6,9,15.3,0.16,1.66,0.7049370942,0.1,0.04246609001,8990,7,51422.8,44000,270,599,3.27
C232,79.152,-68.807,264.7,10.3,7.5,40,14,0.19,1.46,0.6200049142,0.14,0.05945252602,3490,11,19962.8,30900,370,368,2.02
C233,79.154,-69.385,240.6,14.6,6.2,146,14.6,0.18,0.87,0.3694549831,0.19,0.08068557103,3050,13,17446,11500,460,182,3.35
C234,79.161,-68.177,282.7,5.1,6.9,62,6.5,0.55,0.76,0.3227422841,0.4,0.1698643601,810,57,4633.2,3900,1140,74,1.41
C235,79.204,-68.348,279.1,19.4,9.7,3,24.3,0.11,1.85,0.7856226653,0.09,0.03821948101,10430,7,59659.6,86400,230,828,2.58
C236,79.233,-68.347,221.1,15.4,1.2,1,,,0.15,0.06369913502,1.6,0.6794574402,490,95,2802.8,0,0,44,1.21
C237,79.351,-71.236,223.7,20,8.3,149,22.1,0.13,2.34,0.9937065063,0.17,0.07219235302,7090,9,40554.8,126100,350,553,2.17
C238,79.372,-66.716,289.5,8.3,5.3,3,8.1,0.6,1.13,0.4798668172,0.28,0.118905052,3320,53,18990.4,10800,800,109,2.49
C239,79.393,-69.25,257.4,15.4,6,78,14.5,0.18,2.02,0.8578150183,0.14,0.05945252602,4290,8,24538.8,61500,360,343,2.46
C240,79.401,-68.785,264.6,8.8,4.3,134,,,1.83,0.7771294473,0.39,0.1656177511,1170,36,6692.4,0,0,82,1.39
C241,79.41,-68.811,259.9,8,7.7,9,12,0.29,1.73,0.7346633572,0.13,0.05520591702,4600,6,26312,37600,430,428,2.29
C242,79.428,-68.775,290.6,4.1,4.8,79,,,1.03,0.4374007271,0.39,0.1656177511,490,47,2802.8,0,0,46,1.16
C243,79.432,-66.691,289.2,18,3.3,30,,,0.87,0.3694549831,0.47,0.1995906231,3440,60,19676.8,0,0,62,2.17
C244,79.567,-70.032,247.7,11.9,7.8,50,15.8,0.22,0.96,0.4076744641,0.24,0.101918616,2970,31,16988.4,15200,580,192,2.04
C245,79.733,-69.859,229.5,8.2,5.4,89,8.2,0.45,1.51,0.6412379592,0.3,0.12739827,1940,26,11096.8,19600,680,174,1.3
C246,79.76,-69.63,237.4,5.5,5.1,49,4.8,1.52,1.96,0.8323353643,0.9,0.3821948101,3300,125,18876,19200,2230,30,2.4
C247,79.763,-71.235,225.9,11.7,5.6,30,11,0.33,0.93,0.3949346371,0.35,0.1486313151,1590,36,9094.8,9900,750,123,1.29
C248,79.814,-69.633,240.3,7.2,5.1,103,6.7,1,1.75,0.7431565753,0.4,0.1698643601,4740,43,27112.8,21500,1410,77,3.66
C249,79.874,-69.141,267.1,9.2,6,180,10.6,0.39,1.97,0.8365819733,0.21,0.08917878903,9430,34,53939.6,42700,600,184,4.35
C250,79.875,-71.228,228.6,11.5,6.5,124,13.4,0.26,1.46,0.6200049142,0.23,0.09767200703,2410,18,13785.2,29400,600,182,1.72
C251,79.889,-69.673,243.4,17.8,6.4,168,16.7,0.19,1.96,0.8323353643,0.19,0.08068557103,6690,16,38266.8,66600,460,317,2.42
C252,79.901,-69.141,270.3,8.9,7.4,111,12.7,1.2,1.55,0.6582243952,0.99,0.4204142911,2110,205,12069.2,31700,2560,14,2.55
C253,79.907,-70.691,225,5.3,4.2,102,,,0.55,0.2335634951,0.65,0.2760295851,510,101,2917.2,0,0,27,1.27
C254,79.937,-70.712,227.8,12.6,8.7,44,17.8,0.21,1.27,0.5393193432,0.19,0.08068557103,3500,25,20020,30000,430,263,1.72
C255,79.946,-70.764,227.8,9.7,7.6,77,13.8,0.17,1.76,0.7474031843,0.19,0.08068557103,4460,9,25511.2,44500,440,339,2.35
C256,79.998,-68.63,256.3,7.7,7.9,33,12,0.59,1.4,0.5945252602,0.44,0.1868507961,2600,106,14872,24200,970,59,2.31
C257,80.04,-66.872,291,14.4,5.4,109,11.7,0.23,0.8,0.3397287201,0.25,0.106165225,2670,19,15272.4,7700,570,180,2.46
C258,80.05,-68.625,254.6,13.8,5.6,48,12.3,1.08,1.3,0.5520591702,0.72,0.3057558481,1480,203,8465.6,21700,2170,11,1.69
C259,80.087,-67.835,279.6,11,6.8,77,13.5,0.22,1.59,0.6752108312,0.15,0.06369913502,3520,11,20134.4,35300,350,373,2.16
C260,80.136,-68.559,259.1,10.3,8.7,84,15.8,0.31,1.1,0.4671269902,0.24,0.101918616,1780,28,10181.6,20000,570,186,1.09
C261,80.2,-68.617,257.4,14.4,5,179,10,0.18,1.22,0.5180862982,0.24,0.101918616,2340,10,13384.8,15400,500,242,2.19
C262,80.202,-70.023,241.1,9.2,6.6,59,11.7,0.93,0.62,0.2632897581,1.26,0.5350727342,1680,158,9609.6,4700,2300,12,3.1
C263,80.221,-70.044,243,46.3,5.8,49,24.5,0.61,3.43,1.456586887,0.72,0.3057558481,32640,87,186700.8,298500,1870,48,3.85
C264,80.221,-68.798,278.5,6,6.2,37,7.6,0.82,1.29,0.5478125612,0.43,0.1826041871,920,75,5262.4,13200,1350,61,1.15
C265,80.229,-67.776,279.6,13.2,3.3,161,,,1.04,0.4416473361,1.18,0.5010998622,380,138,2173.6,0,0,30,1.14
