ncl,vlsr,tmax,s/n,R,R error,vel disp,vel disp error,LCO,LCO error,Mvir,Mvir error,Mlum,alphavir,pa,Reg,Flag,
1259,-58.7,1.9,5.3,32,0,5.2,4,50000,100000,900000,1380000,259584,3.87,127,0.4,IA,1
1260,-55.8,4.1,11,121,19,6.4,1.5,1350000,470000,5220000,2820000,6465282.876,0.89,100,0.7,IA,0
1261,-59,2,5.2,32,0,4.1,3.2,160000,100000,550000,850000,780656.4,0.8,168,0.4,IA,1
1262,-57.5,2,5,36,18,5.8,2.3,110000,50000,1250000,1060000,564665.6386,2.49,89,0.8,IA,0
1263,-63.1,2.8,6.7,26,15,7.5,3.8,270000,170000,1530000,1860000,1306125,1.3,170,0.5,IA,0
1264,-57.2,2.5,5.5,40,20,5.7,3.6,100000,50000,1350000,1550000,464257.1077,3.25,10,0.8,IA,0
1265,-48.4,3.8,9.8,79,24,4.9,2,320000,360000,1950000,2180000,1584297.259,1.39,18,0.7,IA,0
1266,-55.2,2.6,5.5,21,16,1.9,2.2,90000,90000,80000,200000,419121,0.21,176,0.7,IA,0
1267,-47.5,3.2,8.4,97,41,2.1,0,130000,110000,460000,190000,605659.7195,0.82,103,0.5,IA,1
1268,-36.7,3.2,8,89,51,4.4,8.5,580000,620000,1770000,6730000,2857784.914,0.7,146,0.3,IA,0
1269,-56.3,8,6.7,32,13,8.8,2.3,510000,110000,2590000,2120000,2459017.846,1.17,16,0.5,SA,0
1270,-61.3,5.5,4.2,32,0,6.2,3.2,350000,260000,1250000,1300000,1741613.268,0.82,3,0.3,SA,1
1271,-65.2,6.1,5.7,34,12,11.6,4,350000,90000,4680000,4180000,1747243.895,3.04,24,0.6,SA,0
1272,-67.2,2.5,4.4,32,0,6.5,3.5,80000,30000,1410000,1510000,377325,4.16,3,0.5,IA,1
1273,-64.5,1.9,5,32,0,2,2,60000,120000,130000,260000,291388.2353,0.51,8,0.7,IA,1
1274,-47.7,2.4,5.7,76,31,5.3,2,290000,200000,2240000,1620000,1424453.586,1.74,83,0.4,IA,0
1275,-43.7,2.4,5.7,32,0,5,3.8,70000,110000,820000,1250000,344000,2.7,97,0.4,IA,1
1276,-60.7,5.2,5.4,32,0,4,3.3,190000,190000,530000,870000,928800,0.64,3,0.5,SA,1
1277,-57.6,3.9,4.6,32,0,7.6,5.4,220000,240000,1910000,2690000,1100461.292,1.95,49,0.4,SA,1
1278,-55.4,2,5,32,0,2.6,2,30000,10000,220000,340000,153138.7317,1.64,23,0.9,IA,1
1279,-32.6,3.7,8.9,88,10,5.8,1.4,400000,40000,3100000,1540000,1941769.22,1.77,116,0.5,IA,0
1280,-4.6,4.6,5.6,17,11,7.5,2.9,140000,40000,980000,980000,711670.6731,1.56,51,0.5,IA,0
1281,-113.3,3.5,4.8,32,0,5,2.1,120000,60000,820000,680000,603116.8831,1.54,161,0.5,IA,1
1282,-84.8,1.7,5.1,32,0,5.5,4.4,40000,20000,980000,1600000,200329.4118,5.61,146,0.3,SA,1
1283,-77.2,1.6,4.5,32,0,7.6,5.8,80000,50000,1920000,2900000,369345.8726,5.81,115,0.8,SA,1
