ncl,vlsr,tmax,s/n,R,R error,vel disp,vel disp error,LCO,LCO error,Mvir,Mvir error,Mlum,alphavir,pa,Reg,Flag,
1,-4.3,2.5,5.2,18,19,3.7,2.6,90000,30000,260000,570000,402948.7606,0.71,135,1,IA,0
2,52.8,5.3,7,50,8,10.2,1.9,440000,70000,5400000,2540000,2141674.468,2.82,49,0.9,IA,0
3,60.5,4.6,5.1,32,0,10.8,4.5,210000,80000,3850000,3190000,1010118.713,4.29,152,0.6,IA,1
4,-2.4,1.3,3.8,32,0,5.1,3.9,70000,60000,850000,1300000,347598.3885,2.78,179,0.2,SA,1
5,3.3,2.1,5.8,40,21,9.6,3.7,160000,60000,3800000,3370000,795522.3792,5.38,8,0.9,SA,0
6,15.3,2.5,6.7,27,33,1.9,2,60000,80000,110000,320000,269434.9286,0.42,116,0.6,SA,0
7,13.4,2.2,5.8,32,0,3.1,3.6,30000,20000,320000,730000,163027.726,2.19,11,0.4,SA,1
8,15.8,2.8,7.8,32,0,11.1,7.3,50000,110000,4090000,5330000,248506.9446,18.42,158,0.5,SA,1
9,24,4.1,9.9,118,14,7.3,1.1,1080000,310000,6550000,2480000,5214731.014,1.4,163,0.5,SA,0
10,19.6,5,12,32,15,8,3.9,380000,330000,2140000,2170000,1857600,1.28,133,0.6,SA,0
11,25.3,1.7,3.8,32,0,4.6,3,40000,30000,700000,920000,172777.2132,4.55,176,0.7,SA,1
12,30,2.5,6.3,32,21,4.5,2.9,180000,200000,690000,1000000,845312.3596,0.89,37,0.5,SA,0
13,36.3,3.7,9.6,56,48,5.7,9.2,130000,230000,1890000,5510000,644015.1951,3.28,150,0.3,SA,0
14,41.5,1.8,4.5,15,15,5,7.7,60000,100000,410000,970000,298202.0548,1.46,51,0.7,SA,0
15,42.7,5.1,11.9,77,21,6.7,3.1,860000,620000,3560000,3120000,4224243.505,0.95,137,0.3,SA,0
16,44.3,9,20.6,65,17,9.3,2.2,2160000,770000,5850000,3290000,10527367.5,0.62,168,0.5,SA,0
17,47,3.3,8.1,32,30,11.6,8.4,320000,500000,4470000,7360000,1547731.616,3.23,173,0.7,SA,0
18,43.2,3.7,8.9,32,22,5.6,2.9,210000,310000,1070000,1160000,979064.4706,1.19,81,1,SA,0
19,46.2,2.6,6.4,42,25,5.9,4.7,180000,190000,1550000,2450000,866023.0714,1.96,162,0.5,SA,0
20,52.6,4.3,11.2,52,15,6.9,2.3,630000,200000,2590000,2040000,3057777.574,0.94,62,0.6,SA,0
21,53,2,4,32,0,5.9,1.8,90000,40000,1140000,700000,468572.8696,2.76,84,0.7,SA,1
22,51.2,2.6,5.9,33,31,6.5,4.9,110000,180000,1460000,2600000,546866.3007,2.96,31,0.7,SA,0
23,59.2,3.6,10.7,32,0,5.6,3.7,160000,130000,1040000,1390000,792576,1.47,160,0.5,SA,1
24,56,6.8,17.7,108,16,15.4,2.6,2560000,660000,26780000,11320000,12390424.2,2.4,12,0.5,SA,0
25,54.9,2,5.2,20,11,9.2,5.1,100000,50000,1750000,2310000,495048.0605,3.97,135,0.6,SA,0
26,56.8,1.9,5.2,19,20,5.5,6.3,50000,60000,600000,1370000,235789.6643,2.83,83,0.6,SA,0
27,51.9,1.8,5,32,0,6.5,2.9,160000,130000,1400000,1250000,773237.4384,2.03,61,0.6,SA,1
28,68.4,2.7,7.1,34,29,5.5,3.5,260000,280000,1070000,1850000,1256935.263,0.95,101,0.6,SA,0
29,70.9,2,4.9,32,0,7.2,3.4,80000,30000,1700000,1640000,382894.5686,5.03,170,0.3,SA,1
30,87.8,2.6,8,35,30,12.1,10.8,170000,210000,5260000,9720000,824012.5139,7.22,32,0.5,SA,0
31,6,2,5.6,87,12,9.3,2.1,510000,90000,7790000,4040000,2488916.077,3.51,121,0.5,SA,0
32,15.7,2.2,4.9,32,0,2.8,2.2,50000,20000,260000,400000,257762.5487,1.13,160,0.6,IA,1
33,45,3,6.9,39,9,4.9,1.6,220000,30000,980000,730000,1065832.147,1.02,161,0.4,IA,0
34,69.5,3,6.6,54,10,9.8,2.3,340000,60000,5460000,2300000,1636177.109,3.68,178,0.4,IA,0
35,71.4,3.1,6,44,9,7.8,1.7,390000,110000,2750000,1250000,1942469.1,1.6,122,0.8,IA,0
36,70.2,3.2,6.4,32,0,9.2,2.9,210000,40000,2800000,1730000,1027629.176,3.06,162,0.4,IA,1
37,71.7,2.6,6.3,68,10,6,1.5,330000,40000,2540000,1410000,1614845.455,1.76,179,0.7,IA,0
38,68.5,2.7,5.2,32,0,5.4,2.5,70000,20000,940000,890000,371011.0685,2.92,178,0.8,IA,1
39,73.2,5.2,11.8,52,9,4,0.6,390000,30000,860000,350000,1931904,0.5,174,0.5,IA,0
40,71.8,3.2,5.7,32,0,4.7,2.7,70000,20000,710000,820000,364750.08,2.25,126,0.7,IA,1
41,101.1,3.7,5.5,32,0,4.9,2.5,80000,30000,790000,800000,418788.507,2.13,101,0.8,IA,1
42,99.9,2.2,5.3,32,0,2,1.1,40000,20000,130000,150000,200821.6216,0.74,3,0.8,IA,1
43,115.7,2.5,6.3,32,0,3.5,3.4,40000,10000,410000,800000,213667.6056,2.13,171,0.8,IA,1
44,-15,1.8,5.2,32,0,8.9,3.1,70000,20000,2580000,1810000,350752.0763,8.39,155,0.5,IA,1
45,-0.1,1.9,4.9,36,24,8.6,7.3,110000,180000,2770000,5520000,522167.5946,5.92,153,0.3,SA,0
46,12.4,2.7,7.4,51,24,6.6,4.2,180000,120000,2340000,3400000,874315.6475,2.95,127,0.3,IA,0
47,15,2.1,5.2,32,0,2.9,3.8,80000,140000,270000,720000,405777.039,0.77,110,0.3,SA,1
48,16.6,2.1,6.4,58,38,5.4,6,120000,210000,1760000,3930000,577522.3765,3.4,110,0.7,IA,0
49,28.1,4.4,10.8,42,40,9.5,10.4,580000,990000,3900000,9860000,2857643.182,1.54,165,0.6,SA,0
50,25,2,5,32,0,3.8,5.1,30000,30000,470000,1280000,146577.8361,3.66,145,0.6,SA,1
51,26,2.3,5.7,37,16,8.8,3.3,140000,50000,3010000,2910000,685894.8619,4.85,76,0.9,SA,0
52,30.6,2.1,5.2,61,18,8.5,3,260000,100000,4610000,3370000,1232968.012,4.15,121,1,SA,0
53,23.1,3.2,7.9,66,26,9.4,6.1,390000,130000,6020000,6550000,1896547.16,3.57,153,0.5,SA,0
54,31.3,1.4,3.7,32,0,6.8,5,60000,50000,1520000,2230000,273552.3057,6.28,93,0.6,IA,1
55,39,7.7,18.9,90,24,15.6,6.7,2520000,1440000,23000000,19690000,12166835.6,2.09,151,0.8,SA,0
56,32.3,5.6,14.6,32,0,9.4,5.8,460000,470000,2920000,3630000,2279688,1.44,152,0.3,SA,1
57,36.8,4,10,47,17,6.8,2.8,480000,140000,2230000,2350000,2358110.355,1.07,0,0.3,SA,0
58,44.7,4.9,12.4,39,50,5.2,8.8,120000,100000,1100000,3960000,569462.4,2.15,146,0.7,SA,0
59,38.4,4,9.9,25,24,10.5,9,230000,570000,2820000,5360000,1138792.26,2.81,69,0.7,SA,0
60,44.5,3.3,8.2,49,86,11.8,10.6,560000,2010000,7090000,22030000,2722070.227,2.91,177,0.5,SA,0
61,46.3,7.7,17,32,0,8.8,6.4,560000,650000,2540000,3730000,2766395.077,1.04,6,0.3,SA,1
62,54.9,9.3,19.5,95,22,7.6,3.8,2490000,2420000,5730000,6450000,12020073.96,0.53,107,0.6,SA,0
63,51,2.1,4.9,39,22,6.6,3.1,110000,100000,1740000,2310000,531631.6011,3.71,32,0.7,SA,0
64,53.5,7,18.1,95,17,13.1,2.4,2150000,350000,16920000,8610000,10457306.6,1.81,167,0.4,SA,0
65,57.6,8.5,20,62,36,6.3,6,770000,1140000,2570000,5340000,3759165.237,0.76,10,0.6,SA,0
66,58.3,4,9.2,91,55,15,14.6,630000,1990000,21220000,45570000,3079206.606,7.72,42,0.2,SA,0
67,63.4,1.9,4.9,32,0,8,5.6,160000,110000,2130000,2980000,769491.2621,3.09,123,0.3,SA,1
68,62,3.1,7.4,32,0,4.3,5.5,190000,210000,610000,1570000,903869.0526,0.76,140,0.3,SA,1
69,64.4,2,5.1,32,0,3.3,4.4,90000,130000,360000,940000,444599.2088,0.91,135,0.4,SA,1
70,71.3,3.1,6.8,13,13,6.4,5.5,110000,140000,560000,1370000,537573.287,1.15,62,0.7,IA,0
71,68.6,5.3,13.1,42,44,10.7,10.6,390000,800000,4930000,10890000,1945213.024,2.87,144,0.5,SA,0
72,68.6,6,14.8,56,38,9,4.8,690000,850000,4720000,6210000,3354328.662,1.57,179,0.8,SA,0
73,61.3,5.2,12.8,22,24,7.2,18.3,550000,770000,1210000,5280000,2596269.176,0.51,86,0.5,SA,0
74,76.4,4.9,12.1,32,0,2.1,0,250000,150000,150000,0,1170288,0.14,152,0.2,SA,1
75,76.5,8.6,21.1,82,14,7.5,1.2,2460000,550000,4800000,1830000,11900250,0.45,36,0.8,SA,0
76,74.4,5.9,15,70,15,7.9,1.7,1060000,330000,4480000,2330000,5228928.557,0.97,154,0.5,SA,0
77,76.7,3.8,8.2,37,20,4.3,1.7,220000,200000,720000,700000,1073344.5,0.74,4,0.6,IA,0
78,75.9,2.6,5.7,32,0,7.2,6.4,40000,60000,1690000,3010000,197534.3262,9.75,56,0.3,IA,1
79,79.7,4.4,10.3,92,23,3.1,1.7,600000,140000,910000,1060000,2932752.343,0.35,69,0.6,IA,0
80,79.4,1.6,4.2,32,0,4.5,2.8,40000,30000,670000,840000,206117.2603,3.65,1,1,SA,1
81,74.4,7.5,19.2,62,9,8.7,1.4,1600000,170000,4840000,1680000,7896112.435,0.69,172,0.7,SA,0
82,84.5,3,7.4,61,14,4.4,1.6,200000,60000,1250000,1100000,979353.2571,1.4,23,0.4,IA,0
83,81.4,2.5,6.2,32,0,7.1,8.3,90000,60000,1660000,3890000,455676.9635,4.11,159,0.4,SA,1
84,80.1,8.3,22,48,17,10.8,3.6,1020000,610000,5800000,4640000,5000087.631,1.3,62,0.6,SA,0
85,86.8,1.8,5,37,28,2.7,3.5,90000,70000,280000,780000,428981.5479,0.73,7,0.8,SA,0
86,89.1,3.1,7.9,53,13,5,1.5,250000,40000,1370000,990000,1211279.528,1.27,137,0.9,IA,0
87,-15.4,1.4,4.3,32,0,3.6,2,20000,10000,430000,490000,78932.77377,6.1,145,0.6,SA,1
88,0.1,1.5,4.1,32,0,7,3.8,70000,30000,1600000,1750000,328600.722,5.54,177,0.4,SA,1
89,28,3.2,7.8,32,0,5.6,2.3,280000,100000,1020000,830000,1370690.259,0.85,11,0.2,SA,1
90,32.4,2.8,6.6,75,11,6.8,1.5,550000,90000,3640000,1630000,2666455.629,1.51,9,0.3,SA,0
91,36.8,2.1,5.1,56,27,8.5,5.4,170000,210000,4200000,6900000,819791.623,5.73,170,0.7,SA,0
92,40,3.2,7.4,38,17,3.3,2.4,190000,80000,440000,610000,906500.0377,0.53,63,0.5,SA,0
93,43.1,2.3,5.3,51,28,3.9,2.7,220000,230000,800000,1300000,1072142.036,0.84,155,0.3,SA,0
94,-6.3,2.1,6.9,32,0,6.4,2.9,50000,10000,1340000,1200000,269335.5611,5.65,13,0.6,SA,1
95,0,3.1,5.9,5,11,10.7,4.7,110000,20000,590000,1410000,535979.3952,1.24,50,1,IA,0
96,5.1,2.8,5,32,0,2.1,1.4,40000,20000,140000,200000,210051.6923,0.78,132,0.8,IA,1
97,5.4,2.5,5.2,32,0,2.5,1.7,50000,20000,210000,290000,223269.2308,1.04,134,0.8,IA,1
98,18.6,2.7,6.4,32,0,4.3,1.6,70000,30000,610000,450000,321000.2243,2.14,5,1,IA,1
99,58.1,2.3,5.4,48,24,9.5,5.9,230000,230000,4570000,6760000,1081602.581,4.65,44,0.4,IA,0
100,48.7,1.8,4.5,20,22,6.9,2.6,80000,30000,990000,1240000,381208.3448,2.9,58,1,IA,0
101,73.9,3.5,5.2,16,12,4.2,2.3,140000,60000,280000,360000,697192.8511,0.47,152,0.7,IA,0
102,76.6,3.4,6.1,32,0,3.1,2.2,70000,40000,330000,450000,340029.2571,1.05,75,0.7,IA,1
103,84.1,2.3,4.8,32,0,3.6,2.1,30000,20000,440000,510000,142452.6391,3.38,138,0.7,IA,1
104,77.3,2.7,4.8,32,0,8.1,3.8,90000,70000,2170000,2020000,460783.1229,5.29,6,0.6,IA,1
105,91.4,5.8,11.7,56,27,3.9,2.3,360000,340000,870000,1190000,1765881,0.56,44,0.3,IA,0
106,60.7,2,4.8,32,0,4.2,3.2,80000,30000,570000,880000,394795.9518,1.66,141,0.5,SA,1
107,71.6,3.5,5.1,50,14,3.4,1.4,180000,50000,610000,620000,882971.0526,0.76,178,0.4,IA,0
108,97,2.1,5,51,12,14,4.3,160000,50000,10420000,7550000,798167.5378,14.54,23,0.6,IA,0
109,83.4,2.8,6.1,32,0,6.1,1.9,130000,30000,1220000,770000,622714.3784,2.22,145,0.6,IA,1
110,95.8,3.1,7.6,69,11,6.4,0.9,460000,50000,2930000,900000,2232152.816,1.47,43,0.6,IA,0
111,104.4,1.8,5.2,45,33,4.9,2.4,130000,50000,1130000,1630000,614903.1618,2.04,153,0.8,IA,0
112,94.6,2.6,6.8,29,12,2.8,1.5,90000,20000,230000,240000,439941.6,0.6,4,0.9,IA,0
113,98.4,2.4,5.1,52,15,5.5,1.9,130000,40000,1670000,1340000,614900,2.97,110,1.2,IA,0
114,101.9,2.2,6.1,55,21,4.4,1.8,190000,90000,1080000,1030000,929498.3459,1.33,9,0.9,IA,0
115,117.3,1.6,5.1,32,0,8.6,7.2,30000,40000,2460000,4100000,155328.5427,17.69,104,0.4,IA,1
116,17.7,1.6,4.2,52,15,8.7,3.9,200000,90000,4040000,3800000,962011.9326,4.75,157,0.4,SA,0
117,32.2,2.3,5.9,72,26,3.7,6.1,300000,180000,1050000,3440000,1412808,0.81,149,0.4,SA,0
118,41,3.8,8.9,63,35,9.7,3.2,430000,130000,6150000,5030000,2117546.114,3.25,75,0.5,SA,0
119,49.3,3.8,9.2,45,39,8.2,7.3,290000,350000,3130000,6300000,1399583.187,2.51,10,0.4,SA,0
120,40.4,2.5,3.7,32,0,6.3,3,110000,70000,1330000,1250000,524755.4733,2.81,135,0.4,IA,1
121,50,6.7,14.6,77,24,6.1,3.6,720000,1070000,3010000,3690000,3465064.969,0.96,177,0.8,SA,0
122,52.4,5.4,13.9,45,59,12.7,8.1,1430000,1330000,7540000,17010000,6964128.967,1.21,25,0.9,SA,0
123,54.2,4.9,11.4,71,33,15.4,6,1170000,1100000,17540000,14690000,5666474.191,3.45,8,0.5,SA,0
124,44,4.6,10.7,73,35,8.9,5.3,450000,530000,6100000,7310000,2144819.53,3.13,48,0.5,SA,0
125,46.9,6.2,14.7,107,45,13,4.6,2060000,2520000,18730000,15670000,10093443.75,2.08,49,0.2,SA,0
126,52.8,4.8,11.2,73,49,16.1,15.3,1180000,1270000,19590000,34520000,5751001.343,3.82,178,0.6,SA,0
127,53.6,2.6,6.1,32,0,4.4,6.3,50000,60000,630000,1810000,268381.6119,2.68,132,0.8,SA,1
128,60.1,7.6,17.5,41,17,13,6.3,1270000,280000,7200000,7710000,6188130,1.3,145,0.4,SA,0
129,60.4,2.7,6.3,44,28,7.6,3.3,340000,270000,2640000,2730000,1648386.503,1.79,153,0.3,SA,0
130,56.5,8.9,20,74,74,9.8,8.2,280000,350000,7410000,17420000,1366089.497,6.04,54,1,SA,0
131,50.5,5.3,12.6,73,24,6.3,3.3,870000,560000,2990000,2970000,4258033.633,0.79,13,0.4,SA,0
132,51.5,3.2,7.4,50,31,9.5,5,370000,300000,4670000,7420000,1788058.874,2.93,5,0.3,SA,0
133,58.7,5.5,12.3,59,74,2.4,6,370000,270000,350000,1580000,1793428.364,0.22,17,0.5,SA,0
134,69.3,1.9,5,32,0,7.4,4.5,40000,30000,1790000,2170000,197327.2085,10.31,23,0.6,SA,1
135,65.7,4.9,12.7,38,44,12.7,11.1,100000,100000,6470000,13210000,496566.1005,14.33,164,1.2,SA,0
136,60.6,4.9,11.4,144,39,5.7,2.2,1080000,350000,4910000,4190000,5222892.462,1.04,83,0.7,SA,0
137,62.5,3,6.9,32,0,2.1,0,60000,50000,150000,0,277695.4576,0.59,7,0.2,SA,1
138,63,3.3,7.7,41,19,6,3,300000,140000,1550000,1850000,1440030.252,1.19,32,0.3,SA,0
139,66.3,2.1,4.5,45,35,9.5,5.2,140000,80000,4260000,6050000,665036.8477,7.09,144,0.5,IA,0
140,69.5,3.3,7.5,65,18,7.4,1.9,430000,120000,3730000,2220000,2087102.727,1.98,126,0.3,IA,0
141,68.5,7.6,20.8,26,37,12.4,9.2,590000,240000,4180000,10560000,2847484.27,1.63,28,0.6,SA,0
142,60.5,2.1,5,48,25,7.2,3.3,180000,90000,2640000,3430000,880774.2439,3.28,177,0.5,SA,0
143,68.6,2.6,6.6,32,0,5,3.3,70000,50000,840000,1110000,322500,2.88,28,0.6,SA,1
144,63.9,2.5,6.3,43,20,5.4,3.8,230000,350000,1310000,2150000,1102844.455,1.32,122,1.1,SA,0
145,72.9,2.1,5.4,53,30,8.2,4.8,210000,390000,3710000,5520000,999391.0435,4.14,1,0.9,SA,0
146,69.1,4.2,10.5,30,12,5.1,2.1,260000,140000,830000,620000,1258233.75,0.72,2,0.6,CR,0
147,70.6,5.5,13.6,110,16,6.3,1.6,1750000,380000,4490000,2690000,8591203.22,0.59,41,0.8,CR,0
148,78.3,3.8,8,32,0,7.8,2.1,190000,50000,2020000,1090000,918832.3902,2.46,158,0.4,IA,1
149,76.2,1.9,5.1,32,0,5.7,4.1,70000,110000,1090000,1540000,342917.1818,3.52,151,0.4,SA,1
150,70.5,7.4,17.1,104,40,11.4,4.4,1690000,690000,14070000,15540000,8215649.34,1.91,32,0.3,SA,0
151,73.3,2.9,8.1,32,0,7.3,6.4,140000,170000,1750000,3060000,697123.2676,2.84,147,0.7,SA,1
152,71.1,1.6,4.1,32,0,3.6,3.4,20000,30000,430000,810000,107715.8658,4.47,114,0.6,SA,1
153,66.5,3.7,8.6,52,20,10.4,5.8,390000,430000,5900000,7850000,1887235.699,3.46,65,0.2,SA,0
154,79.4,3.2,7.4,90,54,4.4,2.5,420000,360000,1830000,2220000,2022926.4,1,170,0.7,IA,0
155,78.9,3.4,9,74,101,8.8,7.9,210000,350000,6060000,15200000,1012660.603,6.57,94,0.7,SA,0
156,85.3,4.6,11.7,45,21,2.3,1.6,200000,120000,250000,370000,987057.3214,0.28,30,0.8,IA,0
157,80.7,5.7,14.9,61,49,2.2,2.6,90000,60000,300000,780000,469552.9315,0.73,105,0.8,SA,0
158,81.4,2.9,7.6,51,33,3.4,6.1,110000,70000,620000,2060000,538959.9685,1.27,51,0.5,SA,0
159,81.4,3.8,10.7,52,108,5.1,11,110000,80000,1380000,5940000,545234.625,2.88,97,0.6,SA,0
160,81.6,7,18.8,81,64,11,13.7,2880000,5650000,10200000,28680000,14048100,0.81,168,0.9,SA,0
161,83.9,1.5,4.2,32,0,5.3,5,30000,30000,920000,1740000,125886.5718,8.29,137,0.6,SA,1
162,79.6,2.2,6.1,41,13,2.3,0.9,140000,50000,220000,230000,699470.25,0.36,55,0.7,SA,0
163,77.4,3.6,6.3,25,11,9.2,3.6,300000,110000,2240000,1910000,1411882.759,1.74,170,0.7,IA,0
164,85.1,3,5.5,17,26,2.7,4.2,90000,190000,130000,470000,411093.5143,0.35,17,1.3,IA,0
165,90.3,3.9,9,66,29,4,3.5,120000,100000,1130000,2050000,575594.3662,2.13,163,0.2,IA,0
166,88.2,1.7,4.3,32,0,4.9,3.3,40000,40000,800000,1070000,173207.6738,5.15,174,0.6,IA,1
167,85.5,3.4,9.6,50,52,2.4,4.4,50000,90000,300000,1320000,242295.6522,1.38,149,0.5,SA,0
168,93,2.8,5.9,36,22,4.4,7.8,100000,170000,730000,2310000,481649.1429,1.68,63,0.7,IA,0
169,92.6,3.3,9.8,58,23,6.8,3,240000,100000,2840000,2830000,1161831.761,2.68,88,0.5,SA,0
170,89.7,1.3,3.9,32,0,7.3,4,50000,50000,1780000,1930000,235134.2138,8.42,73,0.7,IA,1
171,91.7,3,9.4,81,27,5.8,2.2,520000,320000,2830000,2280000,2551241.323,1.24,149,1.1,SA,0
172,90.7,1.7,4.8,21,31,2.9,3.6,40000,50000,180000,470000,222874.1413,0.92,141,0.8,SA,0
173,93,1.6,5.3,32,0,7.2,3.3,40000,20000,1700000,1570000,214233.5573,8.99,0,0.7,SA,1
174,92.9,1.8,5.5,59,12,9.8,2.5,150000,50000,5870000,3780000,755297.814,8.71,161,0.8,SA,0
175,93.9,1.7,5.3,32,0,4,3.6,20000,10000,520000,950000,89929.19818,6.61,2,0.7,SA,1
176,94.1,1.5,4.9,32,0,6.5,2.2,80000,30000,1410000,950000,413071.5789,3.8,7,0.5,SA,1
177,99.1,1.2,4.1,32,0,4.7,3.2,20000,30000,720000,990000,112886.8886,7.27,135,0.5,IA,1
178,94.6,2.8,7.8,16,18,3.6,3.1,80000,70000,220000,430000,408042.3051,0.59,139,0.9,IA,0
179,98.6,2.8,9.1,32,0,9.3,3.7,190000,60000,2840000,2260000,912862.6364,3.52,11,0.4,IA,1
180,101.8,1.4,5.3,32,0,6.1,4.9,30000,30000,1210000,1970000,165361.9522,8.36,143,0.6,SA,1
181,100.3,1.5,5.4,32,0,6.1,5.4,30000,60000,1240000,2190000,166356.9097,8.31,23,0.7,SA,1
182,105.5,1.1,3.8,32,0,9.3,6,30000,30000,2880000,3690000,136968.3069,23.46,169,0.6,SA,1
183,116.6,1.4,4.9,32,0,5.2,3.6,30000,20000,890000,1220000,151750.7674,6.62,157,0.7,SA,1
184,-18.5,1.4,4.1,42,21,16.3,10,50000,20000,11530000,16170000,267621.8918,48.41,144,0.5,CR,0
185,5.2,1.4,3.7,70,24,4.8,2.9,230000,140000,1700000,2080000,1088640,1.72,125,0.5,SA,0
186,-26.5,1.7,4.9,32,0,4.1,2.4,40000,10000,550000,640000,200168.3077,3.12,160,0.4,CR,1
187,-25.6,2,6.6,32,0,2.3,1.2,30000,10000,180000,190000,119837.8537,1.64,173,0.7,SA,1
188,61.5,3.1,7.3,107,45,6,2.9,380000,280000,3980000,4660000,1848004.959,2.42,174,0.3,IA,0
189,76.7,2,5.6,54,9,14.2,3.6,330000,50000,11340000,6900000,1584162.677,7.98,29,0.5,SA,0
190,72.3,2.1,5.2,32,0,2.9,4.8,50000,40000,270000,910000,238510.1679,1.31,88,0.6,SA,1
191,80.5,2.6,5.2,32,0,2.6,1.8,40000,30000,220000,300000,212836.8814,1.18,138,0.8,IA,1
192,81.5,2.4,5,32,0,4.3,3.9,60000,50000,610000,1120000,270449.0079,2.54,21,1,IA,1
193,84.9,4.1,9.3,32,0,5.7,3.2,90000,40000,1080000,1220000,450398.6866,2.68,170,0.7,IA,1
194,80.1,4,10.1,54,24,6.7,3.6,500000,310000,2530000,2600000,2405413.385,1.17,59,0.4,SA,0
195,88.8,4.8,10.9,30,24,5.9,3.6,350000,390000,1090000,1440000,1732046.143,0.7,78,0.9,IA,0
196,89,6.1,14.7,46,15,4.3,1.3,520000,180000,900000,580000,2468692.35,0.4,49,0.6,IA,0
197,85.7,4.6,10.8,40,14,2.8,2.2,270000,160000,330000,500000,1348480,0.27,85,0.7,IA,0
198,51.5,2.2,4.9,32,0,4.8,2.7,60000,20000,770000,850000,294151.9175,2.91,157,0.7,SA,1
199,68.3,5,5.7,32,0,4.8,1.8,140000,60000,770000,560000,684785.664,1.25,116,0.8,IA,1
200,82.9,3.6,7.4,38,8,7.2,2,240000,40000,2080000,1400000,1143538.56,2,175,0.5,IA,0
201,90.8,2.8,6,34,10,5,1.2,140000,30000,900000,680000,685312.5,1.44,152,1,IA,0
202,114.7,2.9,4.7,32,0,4.1,1.9,160000,40000,550000,520000,800673.2308,0.78,129,0.4,IA,1
203,132.5,1.3,4.7,32,0,13.7,4.4,60000,30000,6230000,3970000,314668.722,22.16,167,0.7,SA,1
204,-48.3,2,5.5,32,0,8.3,3.7,90000,30000,2250000,2020000,427993.5251,5.98,5,0.6,SA,1
205,-30.4,1.8,4.9,32,0,3.6,3.9,50000,20000,430000,940000,241954.7337,1.99,10,0.3,SA,1
206,-17,1.7,5.1,32,0,6.8,3.2,70000,30000,1510000,1410000,324133.6755,5.3,49,0.3,SA,1
207,17.7,2.1,5.5,51,37,2.8,4.7,140000,120000,420000,1160000,663163.2,0.7,85,0.4,SA,0
208,24.6,1.8,4.3,32,0,10.2,5.8,80000,60000,3430000,3890000,384224.0636,10.06,113,0.5,SA,1
209,37.5,8.6,20.3,82,23,21.1,6.2,2610000,2790000,38020000,28110000,12690084.56,3.34,39,0.5,SA,0
210,36,6.8,15.8,44,31,7.7,7.7,530000,300000,2670000,6370000,2588692.615,1.17,45,0.5,SA,0
211,37.7,2.1,5,55,24,6.2,3.6,170000,100000,2170000,2460000,861258.3158,2.85,171,0.7,IA,0
212,36.6,2.2,5.1,32,0,8.1,4.7,130000,80000,2170000,2510000,615541.0909,3.96,170,0.6,IA,1
213,43.7,4.4,10,46,47,5.6,4.9,330000,480000,1510000,2810000,1580011.472,1.06,108,0.7,SA,0
214,46.1,7.5,18.8,53,53,10.6,6.7,600000,760000,6150000,10770000,2917235.392,2.37,58,0.5,SA,0
215,47.7,3.1,7.3,31,24,8.5,7.4,140000,240000,2320000,4470000,706616.7799,3.68,178,0.4,IA,0
216,51.9,2.6,6.6,32,0,10.4,4.2,210000,90000,3600000,2890000,1007107.85,3.99,16,0.4,SA,1
217,49,5.2,14.4,29,37,6.4,6.2,180000,140000,1240000,3860000,872836.8608,1.58,8,0.8,SA,0
218,49.7,3,7.6,28,35,1.6,1.4,110000,110000,80000,180000,489532.2353,0.17,94,1.1,IA,0
219,53.6,6.7,16.7,45,35,8.8,9.9,370000,1040000,3670000,8740000,1782314.009,2.27,8,0.5,SA,0
220,48.3,3.5,8,104,18,4,2,1030000,400000,1690000,1470000,5083957.895,0.38,108,0.3,SA,0
221,54.2,4.2,9.6,32,0,15.9,12.4,210000,410000,8340000,13000000,1027614.565,9.14,9,0.6,SA,1
222,53.1,3.7,8.5,58,49,8.2,11.4,190000,330000,4040000,10730000,943293.15,4.8,120,0.6,SA,0
223,61.8,3.1,6.7,61,29,4,2.8,410000,410000,1020000,1680000,1987957.895,0.57,110,0.7,IA,0
224,60.2,4.9,11.2,49,24,4.7,3,450000,340000,1150000,1920000,2129962.729,0.59,117,0.4,IA,0
225,63.6,2.1,5.5,76,37,6.4,4.9,180000,170000,3240000,5800000,899041.4328,4.02,176,0.5,SA,0
226,56.3,2,5.2,32,0,4.1,2.9,30000,20000,560000,790000,162214.3169,3.85,8,0.5,IA,1
227,54.2,3.4,8.5,82,27,6.1,3.1,390000,150000,3130000,3560000,1946410.121,1.82,59,0.8,IA,0
228,55.1,5.6,15.4,129,86,6.1,13.6,490000,1000000,5020000,19660000,2391804.502,2.33,10,0.2,SA,0
229,58.3,3.3,7.9,53,26,4.6,3.6,260000,240000,1160000,1980000,1302038.28,1,157,0.9,SA,0
230,55.6,3.1,7.4,51,44,6.9,4.9,210000,450000,2560000,6230000,992618.2077,2.84,5,0.7,SA,0
231,58.1,4,9.5,47,26,2.9,4,200000,190000,400000,1000000,976401,0.47,26,0.8,SA,0
232,60.2,2.6,5.7,50,44,2.5,2.1,40000,40000,320000,730000,215959.8214,1.68,3,0.6,IA,0
233,65.7,1.9,4.6,56,30,2.1,3.2,110000,150000,260000,710000,540982.1887,0.53,156,0.3,IA,0
234,61.1,2.3,5.4,67,42,6.9,4.1,160000,220000,3370000,5680000,781316.2595,4.74,4,0.5,IA,0
235,55,1.8,4.9,25,10,6.3,3,120000,80000,1020000,1010000,587756.25,1.96,33,0.5,SA,0
