ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,meansigv,errsigv,a,b,R,errR,area,perim
167,1,1138,1301,57,72,78,1.09e+06,15.93,7.013,1.465e+06,1.465e+05,38.26,1.789,108.4,24.14,81.26,23.51,2.011e+04,2004
168,2,1041,1321,50,0,0,4.666e+05,11.15,6.335,6.275e+05,6.275e+04,31.2,1.439,59.13,15.31,45.63,43.5,1.024e+04,1287
169,2,1413,1394,46,0,0,1.164e+05,11.15,5.347,1.565e+05,1.565e+04,22.72,1.119,28.72,20.49,35.28,9.435,3052,462.9
170,2,1179,871,45,87,92,2.729e+04,16.64,7.715,3.67e+04,3670,5.146,0.1873,14.26,6.716,nan,11.28,713.5,137.4
171,2,1152,885,49,130,361,8.118e+04,26.9,8.921,1.092e+05,1.092e+04,17.45,0.8461,8.849,7.457,nan,1.152,769.3,176.2
172,2,1171,1246,47,0,0,7.823e+04,11.15,5.892,1.052e+05,1.052e+04,14.16,0.6948,7.869,11.6,nan,4.083,1592,301.6
173,2,1341,1310,58,475,1657,1.324e+05,53.61,8.331,1.78e+05,1.78e+04,35.69,1.83,5.347,9.564,nan,1.644,1059,218
174,2,1175,803,51,262,511,9.082e+04,31.18,8.931,1.221e+05,1.221e+04,10.44,0.4759,10.31,17.55,12.95,4.566,1209,203.1
175,2,1154,691,52,766,1242,1.143e+05,46.75,11.62,1.537e+05,1.537e+04,10.74,0.545,5.502,15.78,nan,15.17,1708,280.7
176,2,1359,1246,52,0,0,1.118e+05,11.15,5.476,1.504e+05,1.504e+04,17.35,0.8208,20.08,9.417,13.77,7.317,1909,253.8
177,1,1276,1228,54,4510,1.484e+04,3.757e+06,157.3,10.97,5.053e+06,5.053e+05,42.34,2.087,37.41,87.01,91.05,38.64,2.225e+04,1589
178,1,1276,1228,54,4510,1.479e+04,3.088e+06,157.1,10.97,4.153e+06,4.153e+05,42.4,2.099,36.35,85.28,88.78,54.74,1.921e+04,1511
179,1,1276,1228,54,4474,1.476e+04,2.935e+06,156.9,10.97,3.946e+06,3.946e+05,42.41,2.1,35.75,84.64,87.66,55.31,1.808e+04,1410
180,1,1276,1228,54,3284,1.153e+04,2.045e+06,138.8,10.97,2.751e+06,2.751e+05,36.39,1.691,32.25,45.28,59.57,15.59,1.149e+04,821.3
181,2,1135,788,51,147,199,3.761e+04,21.32,8.899,5.058e+04,5058,5.124,0.1802,8.577,14.42,4.077,22.68,668.9,122.4
